Question on article,Article id,Heading of article,Question Level
Could delay in Olympics cause a heavy loss?,2484,Probing the probe: on HC remarks on Jayalalithaa death probe panel,5
"Did he have a foreign travel history?

",1601,Seek the virtuous,2
"What is the solution that the health minister of France, Oliver veran, is trying to find to decrease the amount of social gatherings taking place?",1268,Modi amidst a million mutinies,4
"Test Tournament
",1370,Gold and the beautiful,0
"testing your knowledge
",2552,BJP has no moral right to criticise parties coming together under one umbrella: Deve Gowda,1
Why didnt they react earlier?,1668,Athur Patasala: a Vedic school for wholesome education,2
Why is testing prioritized for elderly?,1728,A bid to bring ‘romance back into farming’,5
test,1671,The terracotta temple of Bhattabati,0
testing,1671,The terracotta temple of Bhattabati,0
"How 
",1882,"Samsung sells 2 mn A-series phones in 40 days, clocks $500 mn in sales",0
When Cardoz felt feverish he should have called the ambulance service instead of admitting it to the social media .. why he did so??,1885,TCS gets thumbs up from investors as Infosys slumps,4
When Cardoz felt feverish he should have called the ambulance service instead of admitting it to the social media .. why he did so??,1885,TCS gets thumbs up from investors as Infosys slumps,4
When Cardoz felt feverish he should have called the ambulance service instead of admitting it to the social media .. why he did so??,1885,TCS gets thumbs up from investors as Infosys slumps,4
When Cardoz felt feverish he should have called the ambulance service instead of admitting it to the social media .. why he did so??,1885,TCS gets thumbs up from investors as Infosys slumps,4
When Cardoz felt feverish he should have called the ambulance service instead of admitting it to the social media .. why he did so??,1885,TCS gets thumbs up from investors as Infosys slumps,4
When Cardoz felt feverish he should have called the ambulance service instead of admitting it to the social media .. why he did so??,1885,TCS gets thumbs up from investors as Infosys slumps,4
When Cardoz felt feverish he should have called the ambulance service instead of admitting it to the social media .. why he did so??,1885,TCS gets thumbs up from investors as Infosys slumps,4
What is the role of a comedian in general movie?,1204,JNUTA polls witness 90% voter turnout,3
"Ian Chapel
",1194,Karnataka bypoll results indicate changed mood in country: Congress,0
When Cardoz felt feverish he should have called the ambulance service instead of admitting it to the social media .. why he did so??,1885,TCS gets thumbs up from investors as Infosys slumps,4
test Tournament,1251,Sustaining the embrace of democracy,0
When Cardoz felt feverish he should have called the ambulance service instead of admitting it to the social media .. why he did so??,1885,TCS gets thumbs up from investors as Infosys slumps,4
When Cardoz felt feverish he should have called the ambulance service instead of admitting it to the social media .. why he did so??,1885,TCS gets thumbs up from investors as Infosys slumps,4
My test question,1325,A grim future in Israel,1
"What was the magnitude of the earthquake

",1891,‘Election is an important binary event in short-term’,3
What is Co-Vid 19 ?,1393,Surf and sustainability at Soneva resorts,0
How many people are affected covid,1458,Aadhaar survives,5
If the tsunami is dangerous why not they take action,1891,‘Election is an important binary event in short-term’,2
my test question,1522,Rahul is doing politics on dead bodies: BJP,1
"How many cases are there of Covid-19 in Pakistan
",1923,Govt extends PAN-Aadhaar linking deadline to September 30,5
"What time did the American president take to talk with Moon Jae
",1934,"RBI receives aggressive bids, infuses ₹34,500 cr. liquidity",3
"Which festival has been cancelled due to Covid-19
",1943,A story of grit and determination,1
What are shares?,1574,The true yogi,3
Tedt,1583,Symbolises Advaita,0
Why did use suspend all flights,1604,Nammazhwar’s vision,3
"How does corona virus affect our body?
",1844,"From selling paan to making ice cream, the journey of a small-town enterprise",2
"What does Neel means to show tricks in street magic? Doesn't he show tricks in stage magic? 
",1900,"WPI inflation spikes to 3.18% in March on costlier food, fuel",3
"What does Neel means to show tricks in street magic? Doesn't he show tricks in stage magic? 
",1900,"WPI inflation spikes to 3.18% in March on costlier food, fuel",3
"What does Neel means to show tricks in street magic? Doesn't he show tricks in stage magic? 
",1900,"WPI inflation spikes to 3.18% in March on costlier food, fuel",3
"What does Neel means to show tricks in street magic? Doesn't he show tricks in stage magic? 
",1900,"WPI inflation spikes to 3.18% in March on costlier food, fuel",3
"What does Neel means to show tricks in street magic? Doesn't he show tricks in stage magic? 
",1900,"WPI inflation spikes to 3.18% in March on costlier food, fuel",3
"What does Neel means to show tricks in street magic? Doesn't he show tricks in stage magic? 
",1900,"WPI inflation spikes to 3.18% in March on costlier food, fuel",3
"What does Neel means to show tricks in street magic? Doesn't he show tricks in stage magic? 
",1900,"WPI inflation spikes to 3.18% in March on costlier food, fuel",3
"What does Neel means to show tricks in street magic? Doesn't he show tricks in stage magic? 
",1900,"WPI inflation spikes to 3.18% in March on costlier food, fuel",3
"What does Neel means to show tricks in street magic? Doesn't he show tricks in stage magic? 
",1900,"WPI inflation spikes to 3.18% in March on costlier food, fuel",3
"What does Neel means to show tricks in street magic? Doesn't he show tricks in stage magic? 
",1900,"WPI inflation spikes to 3.18% in March on costlier food, fuel",3
"Q1. In the mideast countries spoken about in the paragraph how have most people been effected by covid-19 , by foreign travel or as this is a contagious pandemic? 

Q2. How is help going to be given out to arabs worlds poorest country , who have a poor and collapsed medical facilities? ",1923,Govt extends PAN-Aadhaar linking deadline to September 30,3
How the coronavirus will decrease?,1875,Mindtree Q4 net up 8.9% at ₹198.4 cr; board declares special dividend of 200%,3
"What is use of ceo ? And use of ceo? 
",2184,Benefit of the revised rates,3
"What is use of ceo ? And use of ceo? 
",2184,Benefit of the revised rates,3
"What is use of ceo ? And use of ceo? 
",2184,Benefit of the revised rates,3
"What is use of ceo ? And use of ceo? 
",2184,Benefit of the revised rates,3
"What is use of ceo ? And use of ceo? 
",2184,Benefit of the revised rates,3
