Question on article,Article id
Could delay in Olympics cause a heavy loss ?,2484
"Did he have a foreign travel history ?

",1601
"What is the solution that the health minister of France , Oliver veran , is trying to find to decrease the amount of social gatherings taking place ?",1268
"Test Tournament
",1370
"testing your knowledge
",2552
Why didnt they react earlier ?,1668
Why is testing prioritized for elderly ?,1728
test,1671
testing,1671
"How 
",1882
When Cardoz felt feverish he should have called the ambulance service instead of admitting it to the social media .. why he did so ??,1885
When Cardoz felt feverish he should have called the ambulance service instead of admitting it to the social media .. why he did so ??,1885
When Cardoz felt feverish he should have called the ambulance service instead of admitting it to the social media .. why he did so ??,1885
When Cardoz felt feverish he should have called the ambulance service instead of admitting it to the social media .. why he did so ??,1885
When Cardoz felt feverish he should have called the ambulance service instead of admitting it to the social media .. why he did so ??,1885
When Cardoz felt feverish he should have called the ambulance service instead of admitting it to the social media .. why he did so ??,1885
When Cardoz felt feverish he should have called the ambulance service instead of admitting it to the social media .. why he did so ??,1885
What is the role of a comedian in general movie ?,1204
"Ian Chapel
",1194
When Cardoz felt feverish he should have called the ambulance service instead of admitting it to the social media .. why he did so ??,1885
test Tournament,1251
When Cardoz felt feverish he should have called the ambulance service instead of admitting it to the social media .. why he did so ??,1885
When Cardoz felt feverish he should have called the ambulance service instead of admitting it to the social media .. why he did so ??,1885
My test question,1325
"What was the magnitude of the earthquake

",1891
What is Co-Vid 19 ?,1393
How many people are affected covid,1458
If the tsunami is dangerous why not they take action,1891
my test question,1522
"How many cases are there of Covid-19 in Pakistan
",1923
"What time did the American president take to talk with Moon Jae
",1934
"Which festival has been cancelled due to Covid-19
",1943
What are shares ?,1574
Tedt,1583
Why did use suspend all flights,1604
"How does corona virus affect our body ?
",1844
"What does Neel means to show tricks in street magic ? Doesn't he show tricks in stage magic ? 
",1900
"What does Neel means to show tricks in street magic ? Doesn't he show tricks in stage magic ?  
",1900
"What does Neel means to show tricks in street magic ? Doesn't he show tricks in stage magic ? 
",1900
"What does Neel means to show tricks in street magic ? Doesn't he show tricks in stage magic ? 
",1900
"What does Neel means to show tricks in street magic ? Doesn't he show tricks in stage magic ? 
",1900
"What does Neel means to show tricks in street magic ? Doesn't he show tricks in stage magic ? 
",1900
"What does Neel means to show tricks in street magic ? Doesn't he show tricks in stage magic ? 
",1900
"What does Neel means to show tricks in street magic ? Doesn't he show tricks in stage magic ? 
",1900
"What does Neel means to show tricks in street magic ? Doesn't he show tricks in stage magic ? 
",1900
"What does Neel means to show tricks in street magic ? Doesn't he show tricks in stage magic ? 
",1900
"Q1. In the mideast countries spoken about in the paragraph how have most people been effected by covid-19 , by foreign travel or as this is a contagious pandemic? 

Q2. How is help going to be given out to arabs worlds poorest country , who have a poor and collapsed medical facilities?",1923
How the coronavirus will decrease ?,1875
"What is use of ceo ? And use of ceo ? 
",2184
"What is use of ceo ? And use of ceo ? 
",2184
"What is use of ceo ? And use of ceo ? 
",2184
"What is use of ceo ? And use of ceo ? 
",2184
"What is use of ceo ? And use of ceo ? 
",2184
"What is use of ceo ? And use of ceo ? 
",2184
What do you mean by Alfa platform ?,2179
How many people where infected,2216
Why this artical is dependent in god ?,2221
Who is know as deva senapati,2278
"This is very intersectional . 
",2276
"Ghb
",2268
Which thing is very significant ?,2298
What is the source of this virus ?,2261
Why is everything filled with coronavirus seey father is a doctor and he is researching over this disease and he told me that we need to listen to positive news we don't have to listen to this corona news . THANK YOU .,2313
Hhhjj,2322
"Test
",2329
What is MTP,2329
What was the brightest at the centre of the Galaxy,1591
What is the meaningh of worthwhile,3340
What if ma'am still denies,2661
"What is full form of COVID-19 ?
",2388
How at the end of the article India's response to Corona came ?,2409
How will the small business survive amid this lockdown ?,2426
"What is Delhi based red carpet up
",2461
Tell meaning of late lunch and permutations,3340
What is the meaning of convene,3290
On which date novel Coronavirus was declared a pandemic ?,2520
Why corona virus case are increasing ? people were saying that when temperature would increase cases of corona virus would decrease but they are increasing ?,3292
"Ghbv
",2569
When will be the right time to invest in share ?,3285
Which is the latest song of rapper pitbull,3277
"Why is uncritical endorsement done ?



",2586
When google make the new website,2592
When google make the new website,2592
When google make the new website,2592
When google make the new website,2592
Why are they starting seed saving efforts ?,2607
"Thank you for your help
",2628
"Thank you for your help
",2628
"What's the meaning of fajita , pomfret , pescatarian , prawns ,",3242
What is hydroxychloriquine,2728
Where was Barron borned ?,2733
"Why are the murders not searched in Pakistan
",2677
What about the senior citizen who do not have any kid as well as fd's and income source,2672
"Will this be spreadd in the village
Or not??
",2785
"Willait be a benifit for the public
",2796
How there children go from Delhi to Bangalore because flights are closed and trains also,3242
Can a person doing doodling can be a artist ?,2562
If we have lockdown then we can not play outside if I or someone doesn't play our day not happy,2793
How is Boris Johnson doing ?,2913
"But if they will start distributing food in hospitals also they need to have much more hygienic conditions otherwise it will I'll affect the consumers , so are they ready with the guaranteed hygiene ?
",2776
How to write a article,2819
"What's the worst that can happen ?

",2786
Why Amitabh Bachchan help the daily wage worker of the Indian film industry,2879
When the country is going through a very difficult time,2768
When tharun shekhar amassed,2888
How he succeeded,2892
Can you explain that what are the hazards of outdoor activities ?,1535
Who sent the best wishes to british prime minister,2913
What is the cause of covid 19 i intay ?,3190
What kind of food did Mughals eat,3186
"Xhdgxs
",3109
Uropean,3125
How covid 19 happened,3123
What is a sermon,3120
"What can we do in this aap
",3133
Who is the co-founder and CEO of ninjacart ?,3113
How can Mehebooba Mufti get justice ?,3010
Why we watch horror movie,1536
"What is coroavirus ? Who is prime minster of Britin ? What is World Health Organisation ,",2913
Who arrived at Rama's camp,2931
"Are they are able to go in their office

",3305
What ??,3324
Uyho,3375
