Country,Capital,Currency,Official lang,HOG,Population
Afghanistan,Kabul,Afghani,Dari Persian; Pashto,President - Ashraf Ghani,38742911
Albania,Tirane,Lek,Albanian,Prime Minister – Edi Rama,2878420
Algeria,Algiers,Dinar,Arabic; Tamazight; French,Prime Minister – Noureddin Bedoui,43685618
Andorra,Andorra la Vella,Euro,Catalan,Prime Minister - Xavier Espot Zamora,77240
Angola,Luanda,New Kwanza,Portuguese,President – João Lourenço,32644783
Antigua and Barbuda,Saint John's,East Caribbean dollar,English,Prime Minister – Gaston Browne,97764
Argentina,Buenos Aires,Peso,Spanish,President – Mauricio Macri,45111229
Armenia,Yerevan,Dram,Armenian,President – Armen Sarkissian,2962137
Australia,Canberra,Australian dollar,English,Prime Minister – Scott Morrison,25439164
Austria,Vienna,Euro (formerly schilling),German,President - Alexander Van der Bellen,8996022
Azerbaijan,Baku,Manat,Azerbaijani,Prime Minister – Novruz Mammadov,10120555
Bahrain,Manama,Bahrain dinar,Arabic,"Prime Minister – Prince
Khalifa bin Salman Al Khalifa",1688629
Bangladesh,Dhaka,Taka,Bangla,Prime Minister – Sheikh Hasina,164354176
Barbados,Bridgetown,Barbados dollar,English,Prime Minister – Mia Mottley,287305
Belarus,Minsk,Belorussian ruble,Belarusian; Russian,Prime Minister – Syarhei Rumas,9449940
Belgium,Brussels,Euro (formerly Belgian franc),Dutch; French; German,Prime Minister – Charles Michel,11579477
Belize,Belmopan,Belize dollar,English,Prime Minister – Dean Barrow,396120
Benin,Porto-Novo,CFA Franc,French,President - Patrice Talon,12055347
Bhutan,Thimphu,Ngultrum,Dzongkha,Prime Minister – Lotay Tshering,769867
Bolivia,"La Paz
(administrative); Sucre (judicial)",Boliviano,Spanish; Quechua; Aymara,Prime Minister – Evo Morales,11640159
Bosnia and Herzegovina,Sarajevo,Convertible Mark,Bosnian; Croatian; Serbian,"Chairman of the Council of Ministers - Denis
Zvizdi?",3284806
Botswana,Gaborone,Pula,English; Tswana,President – Mokgweetsi Masisi,2341649
Brazil,Brasilia,Real,Portuguese,President – Jair Bolsonaro,212253150
Brunei,Bandar Seri Begawan,Brunei dollar,Malay,"Sultan and Prime Minister
– Hassanal Bolkiah",436624
Bulgaria,Sofia,Lev,Bulgarian,Prime Minister – Boyko Borisov,6958627
Burkina Faso,Ouagadougou,CFA Franc,French,"Prime Minister  -
Christophe Joseph Marie Dabiré",20780371
Burundi,Gitega,Burundi franc,Kirundi; French,President – Pierre Nkurunziza,11814346
Cambodia,Phnom Penh,Riel,Khmer,Prime Minister – Hun Sen,16671185
Cameroon,Yaounde,CFA Franc,French; English,Prime Minister – Joseph Ngute,26405174
Canada,Ottawa,Canadian dollar,English; French,Prime Minister – Justin Trudeau,37674770
