Country,Capital,Currency,Official lang,HOG,Population,Flags
Afghanistan,Kabul,Afghani,Dari Persian; Pashto,President - Ashraf Ghani,38742911,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/afghanistan.gif
Albania,Tirane,Lek,Albanian,Prime Minister – Edi Rama,2878420,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/albania.gif
Algeria,Algiers,Dinar,Arabic; Tamazight; French,Prime Minister – Noureddin Bedoui,43685618,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/algeria.gif
Andorra,Andorra la Vella,Euro,Catalan,Prime Minister - Xavier Espot Zamora,77240,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/andorra.gif
Angola,Luanda,New Kwanza,Portuguese,President – João Lourenço,32644783,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/angola.gif
Antigua and Barbuda,Saint John's,East Caribbean dollar,English,Prime Minister – Gaston Browne,97764,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/antigua_and_barbuda.gif
Argentina,Buenos Aires,Peso,Spanish,President – Mauricio Macri,45111229,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/argentina.gif
Armenia,Yerevan,Dram,Armenian,President – Armen Sarkissian,2962137,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/armenia.gif
Australia,Canberra,Australian dollar,English,Prime Minister – Scott Morrison,25439164,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/australia.gif
Austria,Vienna,Euro (formerly schilling),German,President - Alexander Van der Bellen,8996022,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/austria.gif
Azerbaijan,Baku,Manat,Azerbaijani,Prime Minister – Novruz Mammadov,10120555,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/azerbaijan.gif
Bahrain,Manama,Bahrain dinar,Arabic,"Prime Minister – Prince
Khalifa bin Salman Al Khalifa",1688629,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/bahrain.gif
Bangladesh,Dhaka,Taka,Bangla,Prime Minister – Sheikh Hasina,1.64E+08,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/bangladesh.gif
Barbados,Bridgetown,Barbados dollar,English,Prime Minister – Mia Mottley,287305,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/barbados.gif
Belarus,Minsk,Belorussian ruble,Belarusian; Russian,Prime Minister – Syarhei Rumas,9449940,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/belarus.gif
Belgium,Brussels,Euro (formerly Belgian franc),Dutch; French; German,Prime Minister – Charles Michel,11579477,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/belgium.gif
Belize,Belmopan,Belize dollar,English,Prime Minister – Dean Barrow,396120,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/belize.gif
Benin,Porto-Novo,CFA Franc,French,President - Patrice Talon,12055347,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/benin.gif
Bhutan,Thimphu,Ngultrum,Dzongkha,Prime Minister – Lotay Tshering,769867,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/bhutan.gif
Bolivia,"La Paz
(administrative); Sucre (judicial)",Boliviano,Spanish; Quechua; Aymara,Prime Minister – Evo Morales,11640159,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/bolivia.gif
