Country,Place
China,Forbidden City
France,Palace of Versailles
United States of America,Lincoln Memorial
Italy,Colosseum-Forum-Palatine Hill Circuit
Spain,Mosque–Cathedral of Córdoba
India,Taj Mahal
Greece,Parthenon
France,Eiffel Tower
Germany,Cologne Cathedral
Russia,Peterhof Palace
United States of America,Vietnam Veterans Memorial
Spain,Sagrada familia
Mexico,Teotihuacán
Taiwan,National Palace Museum[iii]
Russia,Tsarskoe Selo State Museum-Reserve
Italy,Pompeii
France,Musée d'Orsay
Poland,Wilanów Palace
Austria,Schönbrunn Palace
United States of America,Independence National Historical Park
Russia,Kazan Kremlin
London,Tower of London
Spain,Alhambra
Mexico,Chichén Itzá
United States of America,World War II Memorial
Spain,Ciudad de las Artes y las Ciencias
India,Statue of Unity
Russia,Moscow Kremlin
Mexico,Tulum
Poland,?azienki Palace
Turkey,Topkap? Palace
London,Edinburgh Castle
Spain,Royal Alcázar of Seville
France,Arc de Triomphe
Germany,Neuschwanstein Castle
Peru,Machu Picchu
Puetro Rico,Castillo San Felipe del Morro (Old San Juan Historic Sites)
United States of America,Statue of Liberty National Monument
Mexico,Chapultepec Castle
Russia,Battle of Stalingrad State Museum-Reserve
Poland,Auschwitz-Birkenau Memorial and Museum
Spain,Royal Palace of Madrid
