Question,Option 1,Option 2,Option 3,Option 4,Correct answer,Question type,Question level
Which of the following event took place in the year  1937 ? ,Congress ministries resign,Chauri Chaura incident,Lahore session,World War II begins,World War II begins,static,EASY
Which of the following event took place in the year  1947 ? ,Formation of the constituent assembly,Congress ministries resign,Indian independence act,Lahore session,Indian independence act,static,EASY
Which of the following event took place in the year  1946 ? ,Indian independence act,Non-cooperation and Khilafat movement,Congress ministries resign,Formation of the constituent assembly,Formation of the constituent assembly,static,EASY
Which of the following event took place in the year  1940-41 ? ,Individual satyagraha,Indian independence act,Jallianwala Massacre,Congress ministries resign,Individual satyagraha,static,EASY
Which of the following event took place in the year  1920-22 ? ,Individual satyagraha,Formation of the constituent assembly,Non-cooperation and Khilafat movement,Lahore session,Non-cooperation and Khilafat movement,static,EASY
Which of the following event took place in the year  1942 ? ,Non-cooperation and Khilafat movement,Quit India movement,Formation of the constituent assembly,Indian independence act,Quit India movement,static,EASY
Which of the following event took place in the year  1919 ? ,Quit India movement,Jallianwala Massacre,Individual satyagraha,Formation of the constituent assembly,Jallianwala Massacre,static,EASY
Which of the following event took place in the year  1929 ? ,Civil disobedience movement,Quit India movement,Non-cooperation and Khilafat movement,Individual satyagraha,Civil disobedience movement,static,EASY
Which of the following event took place in the year  1929 ? ,Jallianwala Massacre,Quit India movement,Non-cooperation and Khilafat movement,Civil disobedience movement,Civil disobedience movement,static,EASY
Which of the following event took place in the year  1920-22 ? ,Individual satyagraha,Non-cooperation and Khilafat movement,Indian independence act,Lahore session,Non-cooperation and Khilafat movement,static,EASY
Which of the following event took place in the year  1939-45 ? ,Congress ministries resign,Lahore session,Civil disobedience movement,Jallianwala Massacre,Congress ministries resign,static,EASY
Which of the following event took place in the year 2500 BC ? ,Harappan Phase,First war of Indian independence,English East India company,3rd Anglo - Mysore war,Harappan Phase,static,EASY
Which of the following event took place in the year 563 BC ? ,Mauryan Period,Formation of Congress,Birth of Gautama Buddha,English East India company,Birth of Gautama Buddha,static,EASY
"Which of the following event took place in the year 322 BC - 185 BC
 ? ",Birth of Gautama Buddha,Prithviraj Chauhan,Mauryan Period,First war of Indian independence,Mauryan Period,static,EASY
Which of the following event took place in the year 712 AD ? ,First Muslim Invasion,Birth of Gautama Buddha,Firoz Shah Tuglaq,Formation of Congress,First Muslim Invasion,static,EASY
Which of the following event took place in the year 1178 - 1192 AD ? ,First Muslim Invasion,Mauryan Period,Prithviraj Chauhan,Sikander Lodhi,Prithviraj Chauhan,static,EASY
Which of the following event took place in the year 1296 - 1316 AD ? ,Prithviraj Chauhan,First Muslim Invasion,Mauryan Period,Allaudin Khalji,Allaudin Khalji,static,EASY
Which of the following event took place in the year 1351 -1388 AD ? ,Allaudin Khalji,Prithviraj Chauhan,First Muslim Invasion,Firoz Shah Tuglaq,Firoz Shah Tuglaq,static,EASY
Which of the following event took place in the year 1451 - 1488 AD ? ,Firoz Shah Tuglaq,Bahlol Lodhi,Prithviraj Chauhan,First Muslim Invasion,Bahlol Lodhi,static,EASY
Which of the following event took place in the year 1489 - 1517 AD ? ,Sikander Lodhi,Firoz Shah Tuglaq,Allaudin Khalji,Prithviraj Chauhan,Sikander Lodhi,static,EASY
Which of the following event took place in the year 1517 - 1526 AD ? ,Sikander Lodhi,Bahlol Lodhi,Ibrahim Lodhi,Allaudin Khalji,Ibrahim Lodhi,static,EASY
Which of the following event took place in the year 1530 - 1560 ? ,Ibrahim Lodhi,Sikander Lodhi,Humayun,Firoz Shah Tuglaq,Humayun,static,EASY
Which of the following event took place in the year 1556 ? ,Humayun,2nd Battle of Panipat,Sikander Lodhi,Bahlol Lodhi,2nd Battle of Panipat,static,EASY
Which of the following event took place in the year 1658 -1707 AD ? ,Aurangazeb,Humayun,Ibrahim Lodhi,Sikander Lodhi,Aurangazeb,static,EASY
Which of the following event took place in the year 1556 - 1605 AD ? ,Aurangazeb,Akbar,Humayun,Ibrahim Lodhi,Akbar,static,EASY
Which of the following event took place in the year 1628 -1658 AD ? ,Shahjahan,Aurangazeb,2nd Battle of Panipat,Humayun,Shahjahan,static,EASY
Which of the following event took place in the year 1707 -1857 AD ? ,Later Mughals,Akbar,Aurangazeb,2nd Battle of Panipat,Later Mughals,static,EASY
Which of the following event took place in the year 1782 - 1799 AD ? ,Later Mughals,Shahjahan,Akbar,Tippu Sultan,Tippu Sultan,static,EASY
Which of the following event took place in the year 1885 ? ,Tippu Sultan,Formation of Congress,Shahjahan,Akbar,Formation of Congress,static,EASY
Which of the following event took place in the year 1790 - 1792 AD ? ,3rd Anglo - Mysore war,Tippu Sultan,Later Mughals,Shahjahan,3rd Anglo - Mysore war,static,EASY
Which of the following event took place in the year 1600 ? ,3rd Anglo - Mysore war,Formation of Congress,Tippu Sultan,English East India company,English East India company,static,EASY
Which of the following event took place in the year 1857 ? ,First war of Indian independence,3rd Anglo - Mysore war,Formation of Congress,Tippu Sultan,First war of Indian independence,static,EASY
Which of the following event took place in the year 1885 ? ,Tippu Sultan,Later Mughals,Formation of Congress,Akbar,Formation of Congress,static,EASY
What was the importance of Harappan Phase ? ,"Dominated by Dadabai Naoroji, Surendranath Banerjea",A O Hume,"Bronze age civilization, development of Urban culture",Tipu sultan died,"Bronze age civilization, development of Urban culture",static,EASY
What was the importance of Birth of Gautama Buddha ? ,"Political unification of India, Dhamma policy of Ashoka, the growth of Art and architecture","Dominated by Dadabai Naoroji, Surendranath Banerjea",A O Hume,Buddhism established,Buddhism established,static,EASY
