Year,Event,Importance,,,,,,,,,,,,,,,,,,,,,,,
2500 BC,Harappan Phase,"Bronze age civilization, development of Urban culture",,,,,,,,,,,,,,,,,,,,,,,
563 BC,Birth of Gautama Buddha,Buddhism established,,,,,,,,,,,,,,,,,,,,,,,
"322 BC - 185 BC
",Mauryan Period,"Political unification of India, Dhamma policy of Ashoka, the growth of Art and architecture",,,,,,,,,,,,,,,,,,,,,,,
712 AD,First Muslim Invasion,Mahmud Bin Qasim invaded India,,,,,,,,,,,,,,,,,,,,,,,
1178 - 1192 AD,Prithviraj Chauhan,"First and Secondbattle of Tarain between Prithviraj and Mahmud of Ghori
",,,,,,,,,,,,,,,,,,,,,,,
1296 - 1316 AD,Allaudin Khalji,"Did many administrative reforms, introduced the Dagh
and Chehra system",,,,,,,,,,,,,,,,,,,,,,,
1351 -1388 AD,Firoz Shah Tuglaq,Built great cities,,,,,,,,,,,,,,,,,,,,,,,
1451 - 1488 AD,Bahlol Lodhi,Founder of Lodhi dynasty,,,,,,,,,,,,,,,,,,,,,,,
1489 - 1517 AD,Sikander Lodhi,Founded the city of Agra,,,,,,,,,,,,,,,,,,,,,,,
1517 - 1526 AD,Ibrahim Lodhi,Babur defeated Lodhi in the first battle of Panipat,,,,,,,,,,,,,,,,,,,,,,,
1530 - 1560,Humayun,He was defeated by Sher Shah,,,,,,,,,,,,,,,,,,,,,,,
1556,2nd Battle of Panipat,Akbar Vs. Hemu,,,,,,,,,,,,,,,,,,,,,,,
1658 -1707 AD,Aurangazeb,Beginning of the decline of Mughal empire,,,,,,,,,,,,,,,,,,,,,,,
1556 - 1605 AD,Akbar,"Established Din-i-illahi, expanded Mughal empire",,,,,,,,,,,,,,,,,,,,,,,
1628 -1658 AD,Shahjahan,The pinnacle of Mughal empire and art and architecture,,,,,,,,,,,,,,,,,,,,,,,
1707 -1857 AD,Later Mughals,Decline and disintegration of Mughal empire with gaining strength of the British,,,,,,,,,,,,,,,,,,,,,,,
1782 - 1799 AD,Tippu Sultan,Tipu ceded half of his territory,,,,,,,,,,,,,,,,,,,,,,,
1885,Formation of Congress,"Dominated by Dadabai Naoroji, Surendranath Banerjea",,,,,,,,,,,,,,,,,,,,,,,
1790 - 1792 AD,3rd Anglo - Mysore war,Tipu sultan died,,,,,,,,,,,,,,,,,,,,,,,
1600,English East India company,"Pulicat, Nagapattinam",,,,,,,,,,,,,,,,,,,,,,,
1857,First war of Indian independence,A O Hume,,,,,,,,,,,,,,,,,,,,,,,
1885,Formation of Congress,"Dominated by Dadabai Naoroji, Surendranath Banerjea",,,,,,,,,,,,,,,,,,,,,,,
