Year,Event,Importance
"2 Million BC to 10,00 BC
2 Million BC to 50,000 BC
50,000 BC to 40,000 BC
40,000 BC to 10,000 BC",Paleolithic Period Lower Palaeolithic Middle Palaeolithic Upper Palaeolithic,"Fire was discovered Tools made of limestones
were used. They are found in
Chotanagpur plateau and Kurnool district"
"From 10,000 BC",The Mesolithic Age,Hunters and Herders Microlith tools were used
7000 BC,The Neolithic age,Food producers Use of polished tools
Pre-Harappan Phase – 3000 BC,Chalcolithic Age,Use of Copper – first metal
2500 BC,Harappan Phase,"Bronze age civilization, development of Urban culture"
1500 BC-1000 BC,Early Vedic period,Rig Veda period
1000BC-500BC,Later Vedic period,Growth of 2nd Urban phase with the establishment of Mahajanapadhas
600 BC – 325 BC,Mahajanapadhas,16 kingdoms with certain republics established
544 BC – 412 BC,Haryanka Dynasty,"Bimbisara, Ajatshatru and Udayin"
412 BC – 342 BC,Shisunga Dynasty,Shisunga and Kalashoka
344BC – 323 BC,Nanda Dynasty,Mahapadmananda
563 BC,Birth of Gautama Buddha,Buddhism established
540 BC,Birth of Mahavira,24th Tirthankara of Jainism
518 BC,Persian Invasion,Darius
483 BC,1st Buddhist council,Rajgir
383 BC,2nd Buddhist Council,Vaishali
326 BC,Macedonian Invasion,Direct contact between Greek and India
250 BC,3rd Buddhist council,Pataliputra
"322 BC – 185 BC
322 BC – 298 BC
298 BC – 273 BC
273 BC – 232 BC
232 BC – 185 BC","Mauryan Period Chandragupta Maurya Bindusara
Ashoka Later Mauryans","Political unification of India, Dhamma policy of Ashoka, the growth of Art and architecture"
185 BC – 73 BC,Sunga Dynasty,Pushyamitra Sunga
73 BC – 28 BC,Kanva dynasty,Vasudeva founded the dynasty
60 BC – 225 AD,Sathavahana dynasty,"Capital at Paithan, MH"
2nd BC,Indo-Greeks,Menander (165-145AD)
1st BC – 4th AD,The Shakas,Rudradaman (130 AD – 150 AD)
1st BC – 1st AD,The Parthians,St Thomas arrived in India during the reign of Gondophernes
1st AD -4th AD,The Kushans,Kanishka (78 AD – 101 AD)
72 AD,4th Buddhist Council,Kashmir
3rd BC – 3rd AD,Sangam age,"Convene of Sangam Commune, Rule of Cheras, Cholas and Pandyas"
"319 AD – 540 AD
319 – 334 AD
335 – 380 AD
380 – 414 AD
415 – 455 AD
455 – 467 AD","The Gupta Age Chandragupta I Samudragupta Chandragupta II Kumaragupta
Skandagupta","319 AD – Gupta Age The golden age of India
Development of numerous art and literature.
Nagara style of Temple Building"
550 AD – 647 AD,Vardhana Dynasty,"Harsha (606-647 AD)
Kannauj assembly and Prayag assembly held
Huan-Tsang visited Harsha’s
assembly"
543 – 755 AD,Chalukyas of Vatapi,Development of Vesera style
575 - 897 AD,Pallavas of Kanchi,Structural temples in Dravida style started to develop
750 – 1150 AD,Rule of the Palas,"Capital at Munger, Bihar"
752 – 973 AD,The Rasthrakutas,Capital at Malkhed
730 – 1036 AD,The Pratiharas,Ruled western India
712 AD,First Muslim Invasion,Mahmud Bin Qasim invaded India
850 – 1279 AD,The Cholas,"Capital at Tanjore, epitome moment for Dravidian
Architecture"
998 – 1030 AD,First Turk invasion,Mahmud of Ghazni
1175 – 1206 AD,Second Turk invasion,Mahmud of Ghori
1178 – 1192 AD,Prithviraj Chauhan,"First battle of Tarain in 1191 between Prithviraj and Mahmud of Ghori
1192, Second battle of Tarain"
1206 – 1210 AD,Qutbuddin Aibak,"Known as Lal Bakhsh, began the construction of Qutb
Minar"
1211 – 1236 AD,Shamsuddin Iltumish,Real founder of Delhi Sultanate
1236 – 1240 AD,Razia Sultana,First and only muslim lady who ever ruled India
1266 – 1287 AD,Ghiyasuddin Balban,Established Diwan-i-Arz
1290 – 1296 AD,Jalaluddin Khalji,Founder of Khalji dynasty
1296 – 1316 AD,Allaudin Khalji,"Did many administrative reforms, introduced the Dagh
and Chehra system"
1320 – 1325 AD,Ghiyasuddin Tuglaq,Founder
1325 – 1351 AD,Mohammed-Bin-Tuglaq,Introduction of administrative reforms and certain ambitious projects
1351 – 1388 AD,Firoz Shah Tuglaq,Built great cities
1398 – 1399 AD,Taimur Invasion,"Taimur, the descendant of Chengiz Khan, invaded during the reign of Muhammad Shah Tuglaq"
1451 – 1488 AD,Bahlol Lodhi,Founder of Lodhi dynasty
1489 – 1517 AD,Sikander Lodhi,Founded the city of Agra
1517 – 1526 AD,Ibrahim Lodhi,Babur defeated Lodhi in the first battle of Panipat
1336 – 1485 AD,Sangama Dynasty,Founded by Harihara and Bukka
1485 – 1505 AD,Saluva Dynasty,Saluva Narasgima
1505 – 1570 AD,Tuluva Dynasty,Veer Narashima
1509 – 1529 AD,Krishna Deva Raya,"A gifted Scholar, contemporary of Babur"
1570 – 1650 AD,Aravidu Dynasty,Founded by Tirumala
1347 – 1358 AD,Alaudin Hasan Bahman Shah,Founded the Bahmani Kingdom at Gulbarga
1397 – 1422 AD,Tajuddin Firoz Shah,
1422 – 1435 AD,Ahmad Shah Wali,
1526 – 1530 AD,Babur,Founder of Mughal empire after the 1st Battle of Panipat
"1530 – 1540 AD
1555 – 1556 AD",Humayun,He was defeated by Sher Shah
1540 – 1555 AD,Sur Empire,Sher Shah defeated Humayun and ruled from 1540-45 AD
1556,2nd Battle of Panipat,Akbar Vs. Hemu
1556 – 1605 AD,Akbar,"Established Din-i-illahi, expanded Mughal empire"
1605 – 1627 AD,Jehangir,Captain William Hawkins and Sir Thomas Roe visited the Mughal court
1628 -1658 AD,Shahjahan,The pinnacle of Mughal empire and art and architecture
1658 – 1707 AD,Aurangazeb,Beginning of the decline of Mughal empire
1707 – 1857 AD,Later Mughals,Decline and disintegration of Mughal empire with gaining strength of the British
1775 – 1782 AD,1st Anglo Maratha War,Marathas were defeated and they signed the Subsidiary Alliance
1803 – 1806 AD,2nd War,Marathas were decisively defeated
1817 – 1818 AD,3rd War,Capital of Bengal transferred to Murshidabad
1740 – 1756 AD,Alivardi Khan,Battle of Plassey
1757 – 1760 AD,Mir Jafar,Battle of Buxar
1760 – 1764 AD,Mir Qasim,Establishment of Modern Mysore state
1761 – 1782 AD,Haider Ali,Haider ali defeated the British
1766 – 1769 AD,1st Anglo – Mysore war,Haider ali was defeated by Sir Eyrecoot
1780 – 1784 AD,2nd Anglo – Mysore war,Continued the 2nd war
1782 – 1799 AD,Tippu Sultan,Tipu ceded half of his territory
1790 – 1792 AD,3rd Anglo – Mysore war,Tipu sultan died
1799,4th Anglo – Mysore war,Founder of Sikh rule
1792 – 1839 AD,Maharaja Ranjit Singh,Sikhs were defeated
1845 – 1846 AD,1st Anglo – Sikh war,Dalhousie annexed Punjab
1848 – 1849 AD,2nd Anglo – Sikh war,Headquarters at Cochin and Goa
1498,Portuguese East India company,"Madras, Calcutta and Bombay"
1600,English East India company,"Pulicat, Nagapattinam"
1602,Dutch East India company,Serampore
1616,Danish East India company,Pondicherry
1664,French East India company,Treaty of Aix-la-chapelle
1746-48,1st Anglo-French war,Treaty of Pondicherry
1749-54,2nd Anglo-French war,Treaty of Paris
1758-63,3rd Anglo-French war,Revolt due to socio-religious and economic causes
1857,First war of Indian independence,A O Hume
1885,Formation of Congress,"Dominated by Dadabai Naoroji, Surendranath Banerjea"
1885 – 1905,Moderate phase,Dominated by Lal-Bal-Pal and Aurobindo Ghosh
1905 – 1917,Extremists Phase,Curzon announced the partition
1905,Bengal Partition,Boycott of foreign products
1906,Muslim league formation,Swaraj as the goal
1906,Calcutta Session of INC,Question on extending the movement to the rest of India
1907,Surat split,Separate electorate for Muslims
1909,Morley – Minto reforms,BG Tilak and Annie Besant
1915 – 1916,Home rule movement,Pact between Congress and League
1916,Lucknow pact,Extremists admitted in Congress
