Question,Option 1,Option 2,Option 3,Option 4,Correct answer,Question type
Which of the following event took place in the year 344BC – 323 BC ? ,Shisunga Dynasty,Haryanka Dynasty,Mahajanapadhas,Nanda Dynasty,Nanda Dynasty,static
Which of the following event took place in the year  1946 ? ,INA Trails,Wavell Plan and Shimla Conference,Formation of the constituent assembly,Gandhi’s 21 days fast,Formation of the constituent assembly,static
What was the importance of Birth of Mahavira ? ,Buddhism established,24th Tirthankara of Jainism,Shisunga and Kalashoka,"Bimbisara, Ajatshatru and Udayin",24th Tirthankara of Jainism,static
What was the importance of Later Mughals ? ,Beginning of the decline of Mughal empire,The pinnacle of Mughal empire and art and architecture,Decline and disintegration of Mughal empire with gaining strength of the British,"Established Din-i-illahi, expanded Mughal empire",Decline and disintegration of Mughal empire with gaining strength of the British,static
Which of the following event took place in the year 2nd BC ? ,Sathavahana dynasty,Indo-Greeks,Sunga Dynasty,"Mauryan Period Chandragupta Maurya Bindusara
Ashoka Later Mauryans",Indo-Greeks,static
Which of the following event took place in the year 60 BC – 225 AD ? ,Kanva dynasty,Sunga Dynasty,"Mauryan Period Chandragupta Maurya Bindusara
Ashoka Later Mauryans",Sathavahana dynasty,Sathavahana dynasty,static
What was the importance of Maharaja Ranjit Singh ? ,Founder of Sikh rule,Tipu sultan died,Sikhs were defeated,Continued the 2nd war,Sikhs were defeated,static
"Which of the following event took place in the year 322 BC – 185 BC
322 BC – 298 BC
298 BC – 273 BC
273 BC – 232 BC
232 BC – 185 BC ? ","Mauryan Period Chandragupta Maurya Bindusara
Ashoka Later Mauryans",Macedonian Invasion,2nd Buddhist Council,1st Buddhist council,"Mauryan Period Chandragupta Maurya Bindusara
Ashoka Later Mauryans",static
What was the importance of Mir Qasim ? ,Battle of Buxar,Establishment of Modern Mysore state,Capital of Bengal transferred to Murshidabad,Marathas were decisively defeated,Establishment of Modern Mysore state,static
Which of the following event took place in the year 412 BC – 342 BC ? ,Shisunga Dynasty,Mahajanapadhas,Later Vedic period,Early Vedic period,Shisunga Dynasty,static
Which of the following event took place in the year  1915 ? ,Champaran Campaign,Arrived in Bombay. First two years to tour India and not to participate in any political movement,Formation of the constituent assembly,INA Trails,Arrived in Bombay. First two years to tour India and not to participate in any political movement,static
Which of the following event took place in the year 1628 -1658 AD ? ,Jehangir,Akbar,Shahjahan,Sur Empire,Shahjahan,static
Which of the following event took place in the year  1920-22 ? ,Non-cooperation and Khilafat movement,Champaran Campaign,Arrived in Bombay. First two years to tour India and not to participate in any political movement,Quit India movement,Non-cooperation and Khilafat movement,static
Which of the following event took place in the year 72 AD ? ,The Kushans,4th Buddhist Council,The Shakas,Indo-Greeks,4th Buddhist Council,static
Which of the following event took place in the year 1600 ? ,Portuguese East India company,2nd Anglo – Sikh war,1st Anglo – Sikh war,English East India company,English East India company,static
Which of the following event took place in the year  1941 ? ,Individual Satyagraha,August offer,Congress ministries resign,Cripps mission,Cripps mission,static
Which of the following event took place in the year 544 BC – 412 BC ? ,Mahajanapadhas,Later Vedic period,Early Vedic period,Haryanka Dynasty,Haryanka Dynasty,static
Which of the following event took place in the year  1939-45 ? ,World War II begins,18 months rule of Congress begins,Congress ministries resign,Communal award,Congress ministries resign,static
