Question,Option 1,Option 2,Option 3,Option 4,Correct answer,Question Type,Level
What is the meaning of the idiom : Acid test ? ,Works very well or as expected.,Little or harmless lie told to be polite and avoid hurting someone's feelings.,Doing something with no purpose.,Proves the effectiveness of something.,Proves the effectiveness of something.,static,EASY
What is the meaning of the idiom : Actions speak louder than words ? ,People's intentions can be judged better by what they do than what they say.,Works very well or as expected.,Little or harmless lie told to be polite and avoid hurting someone's feelings.,Doing something with no purpose.,People's intentions can be judged better by what they do than what they say.,static,EASY
What is the meaning of the idiom : Ahead of time ? ,People's intentions can be judged better by what they do than what they say.,At any time of the day or night,Something that happens early or before it is supposed to.,Little or harmless lie told to be polite and avoid hurting someone's feelings.,Something that happens early or before it is supposed to.,static,EASY
What is the meaning of the idiom : All ears ? ,Something that happens early or before it is supposed to.,People's intentions can be judged better by what they do than what they say.,Awaiting an explanation.,Works very well or as expected.,Awaiting an explanation.,static,EASY
What is the meaning of the idiom : Around the clock ? ,Awaiting an explanation.,Something that happens early or before it is supposed to.,People's intentions can be judged better by what they do than what they say.,At any time of the day or night,At any time of the day or night,static,EASY
What is the meaning of the idiom : Around the corner ? ,At any time of the day or night,Awaiting an explanation.,Something that happens early or before it is supposed to.,Will happen soon.,Will happen soon.,static,EASY
What is the meaning of the idiom : As time goes by ? ,Will happen soon.,The passing of one moment to the next.,Awaiting an explanation.,Something that happens early or before it is supposed to.,The passing of one moment to the next.,static,EASY
What is the meaning of the idiom : Back to basics ? ,The passing of one moment to the next.,Will happen soon.,At any time of the day or night,An approach that uses traditional ideas that have previously worked.,An approach that uses traditional ideas that have previously worked.,static,EASY
What is the meaning of the idiom : Back to the drawing board ? ,An approach that uses traditional ideas that have previously worked.,The passing of one moment to the next.,Will happen soon.,When an attempt fails and it's time to start all over.,When an attempt fails and it's time to start all over.,static,EASY
What is the meaning of the idiom : Bad apple ? ,When an attempt fails and it's time to start all over.,Troublemaker or undesirable person in a group.,The passing of one moment to the next.,Will happen soon.,Troublemaker or undesirable person in a group.,static,EASY
What is the meaning of the idiom : Ball is in your court ? ,It is up to you to make the next decision or take the next step.,When an attempt fails and it's time to start all over.,An approach that uses traditional ideas that have previously worked.,The passing of one moment to the next.,It is up to you to make the next decision or take the next step.,static,EASY
What is the meaning of the idiom : Beat around the bush ? ,It is up to you to make the next decision or take the next step.,Avoiding the main topic. Not speaking directly about the issue.,When an attempt fails and it's time to start all over.,An approach that uses traditional ideas that have previously worked.,Avoiding the main topic. Not speaking directly about the issue.,static,EASY
What is the meaning of the idiom : Beat the clock ? ,Avoiding the main topic. Not speaking directly about the issue.,Do something quickly before it's too late.,Troublemaker or undesirable person in a group.,When an attempt fails and it's time to start all over.,Do something quickly before it's too late.,static,EASY
