Question,Option 1,Option 2,Option 3,Option 4,Correct answer,Question Type,Level
What is the meaning of the idiom : Against the clock ? ,Not knowing the answer.,Would never like to do something.,When you are delighted and eager to go somewhere.,Being rushed and having little time to complete something.,Being rushed and having little time to complete something.,static,HARD
What is the meaning of the idiom : Bee in one's bonnet ? ,Lots of desirable features.,Not knowing the answer.,Carrying and idea that's constantly in your thoughts.,When you are delighted and eager to go somewhere.,Carrying and idea that's constantly in your thoughts.,static,HARD
What is the meaning of the idiom : Bells and whistles ? ,Carrying and idea that's constantly in your thoughts.,To take on a task that is way too big.,Not knowing the answer.,Lots of desirable features.,Lots of desirable features.,static,HARD
What is the meaning of the idiom : Bird in the hand is worth two in the bush ? ,Lots of desirable features.,Better to be satisfied with what you have than risk losing it by trying to get something better.,Thief who climbs into buildings.,Not knowing the answer.,Better to be satisfied with what you have than risk losing it by trying to get something better.,static,HARD
What is the meaning of the idiom : Bite off more than you can chew ? ,Better to be satisfied with what you have than risk losing it by trying to get something better.,Lots of desirable features.,To take on a task that is way too big.,Very early in the morning. The first moments of sunrise.,To take on a task that is way too big.,static,HARD
What is the meaning of the idiom : By the skin of your teeth ? ,To take on a task that is way too big.,Better to be satisfied with what you have than risk losing it by trying to get something better.,Only just succeed.,Carrying and idea that's constantly in your thoughts.,Only just succeed.,static,HARD
What is the meaning of the idiom : Cat burglar ? ,Only just succeed.,To take on a task that is way too big.,Thief who climbs into buildings.,Lots of desirable features.,Thief who climbs into buildings.,static,HARD
What is the meaning of the idiom : Catch someone at a bad time ? ,Thief who climbs into buildings.,Only just succeed.,To take on a task that is way too big.,When it is inconvenient.,When it is inconvenient.,static,HARD
What is the meaning of the idiom : Crack of dawn ? ,When it is inconvenient.,Thief who climbs into buildings.,Very early in the morning. The first moments of sunrise.,To take on a task that is way too big.,Very early in the morning. The first moments of sunrise.,static,HARD
What is the meaning of the idiom : Cross that bridge when you come to it ? ,Very early in the morning. The first moments of sunrise.,When it is inconvenient.,Thief who climbs into buildings.,"Deal with a problem if and when it becomes necessary, not before.","Deal with a problem if and when it becomes necessary, not before.",static,HARD
What is the meaning of the idiom : Curiosity killed the cat ? ,"Deal with a problem if and when it becomes necessary, not before.",Very early in the morning. The first moments of sunrise.,When it is inconvenient.,Being Inquisitive can lead you into an unpleasant or dangerous situation.,Being Inquisitive can lead you into an unpleasant or dangerous situation.,static,HARD
What is the meaning of the idiom : Cut one's own throat ? ,Being Inquisitive can lead you into an unpleasant or dangerous situation.,Doing something that will cause your own failure or downfall.,Very early in the morning. The first moments of sunrise.,When it is inconvenient.,Doing something that will cause your own failure or downfall.,static,HARD
What is the meaning of the idiom : Dead in the water ? ,Plan or project that has ceased to function and is not expected to re-activate.,Being Inquisitive can lead you into an unpleasant or dangerous situation.,"Deal with a problem if and when it becomes necessary, not before.",Very early in the morning. The first moments of sunrise.,Plan or project that has ceased to function and is not expected to re-activate.,static,HARD
What is the meaning of the idiom : Dead wood ? ,Plan or project that has ceased to function and is not expected to re-activate.,People or things that are no longer useful or necessary.,Being Inquisitive can lead you into an unpleasant or dangerous situation.,"Deal with a problem if and when it becomes necessary, not before.",People or things that are no longer useful or necessary.,static,HARD
What is the meaning of the idiom : Deep down ? ,People or things that are no longer useful or necessary.,Describing what a person really feels deep inside them,Doing something that will cause your own failure or downfall.,Being Inquisitive can lead you into an unpleasant or dangerous situation.,Describing what a person really feels deep inside them,static,HARD
What is the meaning of the idiom : Deliver the goods ? ,Do what is expected or required.,People or things that are no longer useful or necessary.,Plan or project that has ceased to function and is not expected to re-activate.,Doing something that will cause your own failure or downfall.,Do what is expected or required.,static,HARD
What is the meaning of the idiom : Devil's Advocate ? ,Do what is expected or required.,Describing what a person really feels deep inside them,To present a counter argument.,Plan or project that has ceased to function and is not expected to re-activate.,To present a counter argument.,static,HARD
What is the meaning of the idiom : Donkey's years ? ,To present a counter argument.,Do what is expected or required.,A very long period of time.,People or things that are no longer useful or necessary.,A very long period of time.,static,HARD
What is the meaning of the idiom : Don't count your chickens before they've hatched ? ,A very long period of time.,To present a counter argument.,Do what is expected or required.,Don't make plans for something that might not happen.,Don't make plans for something that might not happen.,static,HARD
What is the meaning of the idiom : Don't give up the day job ? ,Don't make plans for something that might not happen.,A very long period of time.,To present a counter argument.,You are not very good at something. You could definitely not do it professionally.,You are not very good at something. You could definitely not do it professionally.,static,HARD
What is the meaning of the idiom : Don't put all your eggs in one basket ? ,You are not very good at something. You could definitely not do it professionally.,Don't make plans for something that might not happen.,A very long period of time.,Don't make everything dependent on only one thing.,Don't make everything dependent on only one thing.,static,HARD
What is the meaning of the idiom : Eager beaver ? ,Enthusiastic and hard worker.,You are not very good at something. You could definitely not do it professionally.,Don't make plans for something that might not happen.,A very long period of time.,Enthusiastic and hard worker.,static,HARD
What is the meaning of the idiom : Easy as ABC ? ,Enthusiastic and hard worker.,Don't make everything dependent on only one thing.,Very simple or easy.,Don't make plans for something that might not happen.,Very simple or easy.,static,HARD
What is the meaning of the idiom : Elvis has left the building ? ,The show has come to an end. It's all over.,Enthusiastic and hard worker.,Don't make everything dependent on only one thing.,You are not very good at something. You could definitely not do it professionally.,The show has come to an end. It's all over.,static,HARD
What is the meaning of the idiom : Golden handshake ? ,The show has come to an end. It's all over.,Large sum of money given to someone when they retire from a company.,Enthusiastic and hard worker.,Don't make everything dependent on only one thing.,Large sum of money given to someone when they retire from a company.,static,HARD
