Question,Option 1,Option 2,Option 3,Option 4,Correct answer,Question Type,Level
What is the meaning of the idiom : Add insult to injury ? ,Too many people telling others what to do.,People used to doing things a certain way are often unable to change their ways.,Coward,To further a loss with mockery or indignity; to worsen an unfavourable situation.,To further a loss with mockery or indignity; to worsen an unfavourable situation.,static,MEDIUM
What is the meaning of the idiom : After the watershed ? ,A time when after which programmes for older audiences may be aired on TV.,Too many people telling others what to do.,People used to doing things a certain way are often unable to change their ways.,Coward,A time when after which programmes for older audiences may be aired on TV.,static,MEDIUM
What is the meaning of the idiom : An arm and a leg ? ,A time when after which programmes for older audiences may be aired on TV.,Looking in the wrong place. Accusing the wrong person.,Too many people telling others what to do.,Very expensive or costly. A large amount of money.,Very expensive or costly. A large amount of money.,static,MEDIUM
What is the meaning of the idiom : At the drop of a hat ? ,Very expensive or costly. A large amount of money.,A time when after which programmes for older audiences may be aired on TV.,Without any hesitation; instantly.,Too many people telling others what to do.,Without any hesitation; instantly.,static,MEDIUM
What is the meaning of the idiom : Barking up the wrong tree ? ,Looking in the wrong place. Accusing the wrong person.,Very expensive or costly. A large amount of money.,A time when after which programmes for older audiences may be aired on TV.,Very dark and hard to see.,Looking in the wrong place. Accusing the wrong person.,static,MEDIUM
What is the meaning of the idiom : Be glad to see the back of ? ,Be happy when a person leaves.,Without any hesitation; instantly.,Very expensive or costly. A large amount of money.,A time when after which programmes for older audiences may be aired on TV.,Be happy when a person leaves.,static,MEDIUM
What is the meaning of the idiom : Best thing since sliced bread ? ,Be happy when a person leaves.,Looking in the wrong place. Accusing the wrong person.,Without any hesitation; instantly.,A good invention or innovation. A good idea or plan.,A good invention or innovation. A good idea or plan.,static,MEDIUM
What is the meaning of the idiom : Bide one's time ? ,A good invention or innovation. A good idea or plan.,Be happy when a person leaves.,Looking in the wrong place. Accusing the wrong person.,Waiting for further developments before taking action or making decisions.,Waiting for further developments before taking action or making decisions.,static,MEDIUM
What is the meaning of the idiom : Black as night ? ,Waiting for further developments before taking action or making decisions.,A good invention or innovation. A good idea or plan.,Very dark and hard to see.,Looking in the wrong place. Accusing the wrong person.,Very dark and hard to see.,static,MEDIUM
What is the meaning of the idiom : Black eye ? ,Very dark and hard to see.,Bruise around the eye.,A good invention or innovation. A good idea or plan.,Be happy when a person leaves.,Bruise around the eye.,static,MEDIUM
