Question,Option 1,Option 2,Option 3,Option 4,Correct answer,Question Type,
Which country was the winner for Cricket World Cup of the year 1979 ? ,South Africa,West Indies,New Zealand,Bangladesh,West Indies,static,EASY
Which country was the host for Cricket World Cup of the year 1979 ? ,"Australia, New Zealand",England,West Indies,South Africa,England,static,EASY
Which country was the winner for Cricket World Cup of the year 1983 ? ,South Africa,Ireland,India,Bangladesh,India,static,EASY
Which country was the host for Cricket World Cup of the year 1983 ? ,India,"Australia, New Zealand",England,West Indies,England,static,EASY
Which country was the winner for Cricket World Cup of the year 1987 ? ,South Africa,Ireland,New Zealand,Australia,Australia,static,EASY
Which country was the host for Cricket World Cup of the year 1987 ? ,England,"India, Pakistan, Sri Lanka","Australia, New Zealand",India,India,static,EASY
Which country was the winner for Cricket World Cup of the year 1992 ? ,South Africa,Ireland,Pakistan,Bangladesh,Pakistan,static,EASY
Which country was the host for Cricket World Cup of the year 1992 ? ,India,England,South Africa,"Australia, New Zealand","Australia, New Zealand",static,EASY
Which country was the winner for Cricket World Cup of the year 1996 ? ,South Africa,Ireland,New Zealand,Sri Lanka,Sri Lanka,static,EASY
Which country was the host for Cricket World Cup of the year 1996 ? ,"Australia, New Zealand",India,"India, Pakistan, Sri Lanka","India, Pakistan, Sri Lanka, Bangladesh","India, Pakistan, Sri Lanka",static,EASY
Which country was the winner for Cricket World Cup of the year 1999 ? ,South Africa,Ireland,New Zealand,Australia,Australia,static,EASY
Which country was the host for Cricket World Cup of the year 1999 ? ,"India, Pakistan, Sri Lanka",England,India,England,England,static,EASY
Which country was the winner for Cricket World Cup of the year 2003 ? ,Australia,Ireland,New Zealand,Bangladesh,Australia,static,EASY
Which country was the host for Cricket World Cup of the year 2003 ? ,England,"India, Pakistan, Sri Lanka",South Africa,India,South Africa,static,EASY
Which country was the winner for Cricket World Cup of the year 2007 ? ,South Africa,Australia,New Zealand,Bangladesh,Australia,static,EASY
Which country was the host for Cricket World Cup of the year 2007 ? ,West Indies,England,"India, Pakistan, Sri Lanka","Australia, New Zealand",West Indies,static,EASY
Which country was the winner for Cricket World Cup of the year 2011 ? ,India,Ireland,New Zealand,Bangladesh,India,static,EASY
Which country was the host for Cricket World Cup of the year 2011 ? ,West Indies,South Africa,"India, Pakistan, Sri Lanka, Bangladesh","India, Pakistan, Sri Lanka","India, Pakistan, Sri Lanka, Bangladesh",static,EASY
Which country was the winner for Cricket World Cup of the year 2015 ? ,South Africa,Ireland,Australia,Bangladesh,Australia,static,EASY
Which country was the host for Cricket World Cup of the year 2015 ? ,"India, Pakistan, Sri Lanka, Bangladesh",West Indies,South Africa,"Australia, New Zealand","Australia, New Zealand",static,EASY
Which country was the winner for Asia Cup of the year 1986 ? ,UAE,Sri Lanka,Oman,Qatar,Sri Lanka,static,EASY
Which country was the winner for Asia Cup of the year 1988 ? ,India,Bangladesh,Oman,Qatar,India,static,EASY
Which country was the winner for Asia Cup of the year 1991 ? ,UAE,Singapore,India,Qatar,India,static,EASY
Which country was the winner for Asia Cup of the year 1995 ? ,UAE,Bangladesh,India,Qatar,India,static,EASY
Which country was the winner for Asia Cup of the year 1997 ? ,UAE,Bangladesh,Sri Lanka,Bahrain,Sri Lanka,static,EASY
Which country was the winner for Asia Cup of the year 2000 ? ,UAE,Pakistan,Oman,Qatar,Pakistan,static,EASY
Which country was the winner for Asia Cup of the year 2004 ? ,UAE,Bangladesh,Oman,Sri Lanka,Sri Lanka,static,EASY
Which country was the winner for Asia Cup of the year 2008 ? ,UAE,Bangladesh,Oman,Sri Lanka,Sri Lanka,static,EASY
Which country was the winner for Asia Cup of the year 2010 ? ,UAE,Bangladesh,India,Qatar,India,static,EASY
Which country was the winner for Asia Cup of the year 2012 ? ,Pakistan,Bangladesh,Oman,Qatar,Pakistan,static,EASY
Which country was the winner for Asia Cup of the year 2014 ? ,UAE,Sri Lanka,Oman,Qatar,Sri Lanka,static,EASY
Which country was the winner for Asia Cup of the year 2016 ? ,UAE,India,Oman,Qatar,India,static,EASY
