Question,Option 1,Option 2,Option 3,Option 4,Correct answer,Question Type,
Number of women events that took place in Olympic in the year 1900 ? ,2,140,127,125,2,static,HARD
Number of women who participated in olympics in the year 1900 ? ,22,4676,4637,4329,22,static,HARD
Number of women events that took place in Olympic in the year 1904 ? ,4,145,140,3,3,static,HARD
Number of women who participated in olympics in the year 1904 ? ,6,4700,4676,4637,6,static,HARD
Number of women events that took place in Olympic in the year 1908 ? ,3,8,145,4,4,static,HARD
Number of women who participated in olympics in the year 1908 ? ,6,63,4700,37,37,static,HARD
Number of women events that took place in Olympic in the year 1912 ? ,4,5,14,145,5,static,HARD
Number of women who participated in olympics in the year 1912 ? ,48,6,277,4700,48,static,HARD
Number of women events that took place in Olympic in the year 1920 ? ,5,4,8,15,8,static,HARD
Number of women who participated in olympics in the year 1920 ? ,48,63,6,331,63,static,HARD
Number of women events that took place in Olympic in the year 1924 ? ,10,5,4,3,10,static,HARD
Number of women who participated in olympics in the year 1924 ? ,63,48,135,6,135,static,HARD
Number of women events that took place in Olympic in the year 1928 ? ,14,8,5,4,14,static,HARD
Number of women who participated in olympics in the year 1928 ? ,135,63,277,37,277,static,HARD
Number of women events that took place in Olympic in the year 1932 ? ,14,10,8,14,14,static,HARD
Number of women who participated in olympics in the year 1932 ? ,277,135,63,126,126,static,HARD
Number of women events that took place in Olympic in the year 1936 ? ,14,15,10,8,15,static,HARD
Number of women who participated in olympics in the year 1936 ? ,126,277,135,331,331,static,HARD
Number of women events that took place in Olympic in the year 1948 ? ,15,14,19,10,19,static,HARD
Number of women who participated in olympics in the year 1948 ? ,331,390,277,135,390,static,HARD
Number of women events that took place in Olympic in the year 1952 ? ,19,25,14,14,25,static,HARD
Number of women who participated in olympics in the year 1952 ? ,519,331,126,277,519,static,HARD
Number of women events that took place in Olympic in the year 1956 ? ,26,19,15,14,26,static,HARD
Number of women who participated in olympics in the year 1956 ? ,519,390,331,376,376,static,HARD
Number of women events that took place in Olympic in the year 1960 ? ,26,29,19,15,29,static,HARD
Number of women who participated in olympics in the year 1960 ? ,376,519,390,611,611,static,HARD
Number of women events that took place in Olympic in the year 1964 ? ,29,26,33,19,33,static,HARD
Number of women who participated in olympics in the year 1964 ? ,611,376,519,678,678,static,HARD
Number of women events that took place in Olympic in the year 1968 ? ,39,29,26,25,39,static,HARD
Number of women who participated in olympics in the year 1968 ? ,781,611,376,519,781,static,HARD
Number of women events that took place in Olympic in the year 1972 ? ,43,33,29,26,43,static,HARD
Number of women who participated in olympics in the year 1972 ? ,1059,678,611,376,1059,static,HARD
Number of women events that took place in Olympic in the year 1976 ? ,43,39,33,49,49,static,HARD
Number of women who participated in olympics in the year 1976 ? ,1059,781,678,1260,1260,static,HARD
Number of women events that took place in Olympic in the year 1980 ? ,49,43,50,33,50,static,HARD
Number of women who participated in olympics in the year 1980 ? ,1260,1059,1115,678,1115,static,HARD
Number of women events that took place in Olympic in the year 1984 ? ,62,49,43,39,62,static,HARD
Number of women who participated in olympics in the year 1984 ? ,1566,1260,1059,781,1566,static,HARD
Number of women events that took place in Olympic in the year 1988 ? ,62,50,72,43,72,static,HARD
Number of women who participated in olympics in the year 1988 ? ,1566,1115,2194,1059,2194,static,HARD
Number of women events that took place in Olympic in the year 1992 ? ,72,86,50,49,86,static,HARD
Number of women who participated in olympics in the year 1992 ? ,2194,1566,1115,2707,2707,static,HARD
Number of women events that took place in Olympic in the year 1996 ? ,86,72,62,97,97,static,HARD
Number of women who participated in olympics in the year 1996 ? ,3512,2194,1566,1115,3512,static,HARD
Number of women events that took place in Olympic in the year 2000 ? ,97,86,120,62,120,static,HARD
Number of women who participated in olympics in the year 2000 ? ,3512,4069,2194,1566,4069,static,HARD
Number of women events that took place in Olympic in the year 2004 ? ,125,97,86,72,125,static,HARD
Number of women who participated in olympics in the year 2004 ? ,4329,3512,2707,2194,4329,static,HARD
Number of women events that took place in Olympic in the year 2008 ? ,125,120,97,127,127,static,HARD
Number of women who participated in olympics in the year 2008 ? ,4329,4069,4637,2707,4637,static,HARD
Number of women events that took place in Olympic in the year 2012 ? ,140,125,120,97,140,static,HARD
Number of women who participated in olympics in the year 2012 ? ,4637,4676,4069,3512,4676,static,HARD
Number of women events that took place in Olympic in the year 2016 ? ,145,127,125,120,145,static,HARD
Number of women who participated in olympics in the year 2016 ? ,4676,4637,4700,4069,4700,static,HARD
