Question,Option 1,Option 2,Option 3,Option 4,Correct answer,Question Type
What was the venu for Cricket World Cup of the year 1979 ? ,Melbourne,Lord's,Bridgetown,Wanderers,Lord's,static,MEDIUM
What was the venu for Cricket World Cup of the year 1983 ? ,Kolkata,Melbourne,Wankhede,Lord's,Lord's,static,MEDIUM
What was the venu for Cricket World Cup of the year 1987 ? ,Lord's,Lahore (Gdffi),Kolkata,Wankhede,Kolkata,static,MEDIUM
What was the venu for Cricket World Cup of the year 1992 ? ,Kolkata,Lord's,Wanderers,Melbourne,Melbourne,static,MEDIUM
What was the venu for Cricket World Cup of the year 1996 ? ,Melbourne,Kolkata,Lord's,Lahore (Gdffi),Lahore (Gdffi),static,MEDIUM
What was the venu for Cricket World Cup of the year 1999 ? ,Lahore (Gdffi),Lord's,Kolkata,Lord's,Lord's,static,MEDIUM
What was the venu for Cricket World Cup of the year 2003 ? ,Lord's,Lahore (Gdffi),Wanderers,Kolkata,Wanderers,static,MEDIUM
What was the venu for Cricket World Cup of the year 2007 ? ,Bridgetown,Lord's,Lahore (Gdffi),Melbourne,Bridgetown,static,MEDIUM
What was the venu for Cricket World Cup of the year 2011 ? ,Bridgetown,Wankhede,Lord's,Lahore (Gdffi),Wankhede,static,MEDIUM
What was the venu for Cricket World Cup of the year 2015 ? ,Wankhede,Bridgetown,Melbourne,Lord's,Melbourne,static,MEDIUM
Which country was the host for Asia Cup of the year 1986 ? ,Oman,Singapore,Kuwait,Sri Lanka,Sri Lanka,static,MEDIUM
What was the venu for Asia Cup of the year 1986 ? ,Mumbai,Lahore,Colombo (SSC),Galle,Colombo (SSC),static,MEDIUM
Which country was the host for Asia Cup of the year 1988 ? ,Nepal,Singapore,Kuwait,Bangladesh,Bangladesh,static,MEDIUM
What was the venu for Asia Cup of the year 1988 ? ,Jaffna,Lahore,Dhaka,Galle,Dhaka,static,MEDIUM
Which country was the host for Asia Cup of the year 1991 ? ,Oman,Indonesia,India,Japan,India,static,MEDIUM
What was the venu for Asia Cup of the year 1991 ? ,Mumbai,Kolkata,Delhi,Galle,Kolkata,static,MEDIUM
Which country was the host for Asia Cup of the year 1995 ? ,UAE,Singapore,Brunei,Japan,UAE,static,MEDIUM
What was the venu for Asia Cup of the year 1995 ? ,Mumbai,Sharjah,Bangalore,Galle,Sharjah,static,MEDIUM
Which country was the host for Asia Cup of the year 1997 ? ,Oman,Singapore,Kuwait,Sri Lanka,Sri Lanka,static,MEDIUM
What was the venu for Asia Cup of the year 1997 ? ,Mumbai,Colombo (RPS),Delhi,Colombo,Colombo (RPS),static,MEDIUM
Which country was the host for Asia Cup of the year 2000 ? ,Oman,Singapore,Kuwait,Bangladesh,Bangladesh,static,MEDIUM
What was the venu for Asia Cup of the year 2000 ? ,Dhaka,Lahore,Delhi,Galle,Dhaka,static,MEDIUM
Which country was the host for Asia Cup of the year 2004 ? ,Sri Lanka,Singapore,Kuwait,Japan,Sri Lanka,static,MEDIUM
What was the venu for Asia Cup of the year 2004 ? ,Mumbai,Lahore,Delhi,Colombo (RPS),Colombo (RPS),static,MEDIUM
Which country was the host for Asia Cup of the year 2008 ? ,Oman,Singapore,Kuwait,Pakistan,Pakistan,static,MEDIUM
What was the venu for Asia Cup of the year 2008 ? ,Mumbai,Karachi,Delhi,Galle,Karachi,static,MEDIUM
Which country was the host for Asia Cup of the year 2010 ? ,Sri Lanka,Singapore,Kuwait,Japan,Sri Lanka,static,MEDIUM
What was the venu for Asia Cup of the year 2010 ? ,Mumbai,Lahore,Dambulla,Galle,Dambulla,static,MEDIUM
Which country was the host for Asia Cup of the year 2012 ? ,Oman,Bangladesh,Kuwait,Japan,Bangladesh,static,MEDIUM
What was the venu for Asia Cup of the year 2012 ? ,Mirpur,Lahore,Delhi,Galle,Mirpur,static,MEDIUM
Which country was the host for Asia Cup of the year 2014 ? ,Oman,Singapore,Kuwait,Bangladesh,Bangladesh,static,MEDIUM
What was the venu for Asia Cup of the year 2014 ? ,Mirpur,Lahore,Delhi,Galle,Mirpur,static,MEDIUM
Which country was the host for Asia Cup of the year 2016 ? ,Oman,Singapore,Bangladesh,Japan,Bangladesh,static,MEDIUM
What was the venu for Asia Cup of the year 2016 ? ,Mumbai,Mirpur,Delhi,Galle,Mirpur,static,MEDIUM
