Question,Option 1,Option 2,Option 3,Option 4,Correct answer
Number of women who participated in olympics in the year 1912 ? ,5,3,14,145,5
What was the venu for Cricket World Cup of the year 2003 ? ,Lord's,Lahore (Gdffi),Melbourne,Wanderers,Wanderers
Number of women who participated in olympics in the year 1932 ? ,14,10,14,5,14
Number of women who participated in olympics in the year 1936 ? ,14,15,10,8,15
Number of women events that took place in Olympic in the year 1912 ? ,2,2,4,28,2
Which country was the winner for Cricket World Cup of the year 1987 ? ,South Africa,Australia,New Zealand,Bangladesh,Australia
Number of women events that took place in Olympic in the year 2000 ? ,21,19,17,25,25
Number of women who participated in olympics in the year 2000 ? ,97,86,120,62,120
Which country was the winner for Cricket World Cup of the year 2015 ? ,South Africa,Ireland,Australia,Bangladesh,Australia
Which country was the host for Cricket World Cup of the year 1987 ? ,India,"India, Pakistan, Sri Lanka","Australia, New Zealand","India, Pakistan, Sri Lanka, Bangladesh",India
Which country was the host for Cricket World Cup of the year 1983 ? ,India,England,"India, Pakistan, Sri Lanka, Bangladesh",West Indies,England
Number of women events that took place in Olympic in the year 1988 ? ,14,17,11,8,17
What was the venu for Cricket World Cup of the year 1992 ? ,Kolkata,Lord's,Melbourne,Melbourne,Melbourne
Which country was the host for Cricket World Cup of the year 2007 ? ,South Africa,England,West Indies,"Australia, New Zealand",West Indies
What was the venu for Cricket World Cup of the year 2003 ? ,Lord's,Lahore (Gdffi),Melbourne,Wanderers,Wanderers
Which country was the host for Cricket World Cup of the year 1992 ? ,"Australia, New Zealand",England,South Africa,"Australia, New Zealand","Australia, New Zealand"
What was the venu for Cricket World Cup of the year 2011 ? ,Wankhede,Wanderers,Lord's,Lahore (Gdffi),Wankhede
Number of women who participated in olympics in the year 2012 ? ,127,125,120,140,140
What was the venu for Cricket World Cup of the year 1979 ? ,Melbourne,Wankhede,Bridgetown,Lord's,Lord's
Which country was the winner for Cricket World Cup of the year 1983 ? ,India,Ireland,New Zealand,Bangladesh,India
Which country was the host for Cricket World Cup of the year 1987 ? ,England,"India, Pakistan, Sri Lanka","Australia, New Zealand",India,India
Which country was the winner for Cricket World Cup of the year 2015 ? ,Australia,Ireland,New Zealand,Bangladesh,Australia
Which country was the host for Cricket World Cup of the year 1987 ? ,India,"India, Pakistan, Sri Lanka","Australia, New Zealand","India, Pakistan, Sri Lanka, Bangladesh",India
Which country was the winner for Cricket World Cup of the year 1992 ? ,South Africa,Ireland,Pakistan,Bangladesh,Pakistan
What was the venu for Cricket World Cup of the year 1979 ? ,Melbourne,Lord's,Bridgetown,Wanderers,Lord's
Which country was the winner for Cricket World Cup of the year 1979 ? ,South Africa,Ireland,New Zealand,West Indies,West Indies
Which country was the winner for Cricket World Cup of the year 1979 ? ,South Africa,West Indies,New Zealand,Bangladesh,West Indies
What was the venu for Cricket World Cup of the year 1999 ? ,Lahore (Gdffi),Melbourne,Lord's,Lord's,Lord's
Which country was the host for Cricket World Cup of the year 2011 ? ,"India, Pakistan, Sri Lanka, Bangladesh",South Africa,England,"India, Pakistan, Sri Lanka","India, Pakistan, Sri Lanka, Bangladesh"
Which country was the host for Cricket World Cup of the year 1979 ? ,England,"India, Pakistan, Sri Lanka, Bangladesh",West Indies,South Africa,England
Number of women who participated in olympics in the year 2000 ? ,97,120,72,62,120
Which country was the winner for Cricket World Cup of the year 1987 ? ,South Africa,Ireland,New Zealand,Australia,Australia
Number of women events that took place in Olympic in the year 2000 ? ,21,19,17,25,25
Which country was the winner for Cricket World Cup of the year 1999 ? ,South Africa,Australia,New Zealand,Bangladesh,Australia
Which country was the winner for Cricket World Cup of the year 2003 ? ,Australia,Ireland,New Zealand,Bangladesh,Australia
What was the venu for Cricket World Cup of the year 1979 ? ,Melbourne,Wankhede,Bridgetown,Lord's,Lord's
What was the venu for Cricket World Cup of the year 1999 ? ,Lahore (Gdffi),Melbourne,Kolkata,Lord's,Lord's
Which country was the host for Cricket World Cup of the year 2011 ? ,West Indies,South Africa,"India, Pakistan, Sri Lanka, Bangladesh","India, Pakistan, Sri Lanka","India, Pakistan, Sri Lanka, Bangladesh"
Which country was the host for Cricket World Cup of the year 1992 ? ,India,"Australia, New Zealand",South Africa,"Australia, New Zealand","Australia, New Zealand"
Number of women who participated in olympics in the year 2012 ? ,127,140,120,97,140
Which country was the winner for Cricket World Cup of the year 2015 ? ,South Africa,Ireland,New Zealand,Australia,Australia
What was the venu for Cricket World Cup of the year 2015 ? ,Wankhede,Bridgetown,Wanderers,Melbourne,Melbourne
What was the venu for Cricket World Cup of the year 2003 ? ,Lord's,Lahore (Gdffi),Wanderers,Kolkata,Wanderers
What was the venu for Cricket World Cup of the year 1999 ? ,Lahore (Gdffi),Lord's,Kolkata,Lord's,Lord's
What was the venu for Cricket World Cup of the year 1983 ? ,Kolkata,Melbourne,Lord's,Bridgetown,Lord's
Which country was the host for Cricket World Cup of the year 1999 ? ,"India, Pakistan, Sri Lanka",England,India,England,England
Number of women events that took place in Olympic in the year 1952 ? ,5,6,3,4,6
Which country was the winner for Cricket World Cup of the year 2003 ? ,South Africa,Australia,New Zealand,Bangladesh,Australia
Which country was the host for Cricket World Cup of the year 1979 ? ,"Australia, New Zealand","India, Pakistan, Sri Lanka, Bangladesh",England,South Africa,England
Which country was the winner for Cricket World Cup of the year 2015 ? ,Australia,Ireland,New Zealand,Bangladesh,Australia
