Question,Option 1,Option 2,Option 3,Option 4,Correct answer,Question Type
Which country was the winner for Cricket World Cup of the year 1979 ? ,West Indies,Ireland,New Zealand,Bangladesh,West Indies,static
What was the venu for Cricket World Cup of the year 2015 ? ,Wankhede,Bridgetown,Melbourne,Lord's,Melbourne,static
Number of women events that took place in Olympic in the year 1956 ? ,26,19,15,14,26,static
What was the venu for Cricket World Cup of the year 1983 ? ,Kolkata,Lord's,Wankhede,Bridgetown,Lord's,static
Number of women events that took place in Olympic in the year 2000 ? ,97,86,120,62,120,static
Number of women events that took place in Olympic in the year 1976 ? ,43,39,49,29,49,static
What was the venu for Cricket World Cup of the year 1999 ? ,Lahore (Gdffi),Lord's,Kolkata,Lord's,Lord's,static
Number of women who participated in olympics in the year 1976 ? ,1260,781,678,611,1260,static
Which country was the winner for Cricket World Cup of the year 1996 ? ,Sri Lanka,Ireland,New Zealand,Bangladesh,Sri Lanka,static
Which country was the host for Cricket World Cup of the year 1979 ? ,"Australia, New Zealand","India, Pakistan, Sri Lanka, Bangladesh",West Indies,England,England,static
What was the venu for Cricket World Cup of the year 1992 ? ,Kolkata,Lord's,Melbourne,Melbourne,Melbourne,static
Which country was the winner for Cricket World Cup of the year 1987 ? ,Australia,Ireland,New Zealand,Bangladesh,Australia,static
Which country was the host for Cricket World Cup of the year 1979 ? ,"Australia, New Zealand","India, Pakistan, Sri Lanka, Bangladesh",England,South Africa,England,static
Which country was the winner for Cricket World Cup of the year 1996 ? ,South Africa,Ireland,New Zealand,Sri Lanka,Sri Lanka,static
Which country was the host for Cricket World Cup of the year 1983 ? ,England,"Australia, New Zealand","India, Pakistan, Sri Lanka, Bangladesh",West Indies,England,static
What was the venu for Cricket World Cup of the year 1979 ? ,Melbourne,Wankhede,Bridgetown,Lord's,Lord's,static
Which country was the winner for Cricket World Cup of the year 2003 ? ,South Africa,Ireland,New Zealand,Australia,Australia,static
What was the venu for Cricket World Cup of the year 1996 ? ,Melbourne,Kolkata,Lahore (Gdffi),Wankhede,Lahore (Gdffi),static
Number of women events that took place in Olympic in the year 1980 ? ,49,50,39,33,50,static
What was the venu for Cricket World Cup of the year 2011 ? ,Wankhede,Wanderers,Lord's,Lahore (Gdffi),Wankhede,static
Which country was the winner for Cricket World Cup of the year 1999 ? ,South Africa,Ireland,Australia,Bangladesh,Australia,static
Which country was the winner for Cricket World Cup of the year 1987 ? ,Australia,Ireland,New Zealand,Bangladesh,Australia,static
Which country was the host for Cricket World Cup of the year 1992 ? ,India,England,South Africa,"Australia, New Zealand","Australia, New Zealand",static
Which country was the winner for Cricket World Cup of the year 1996 ? ,South Africa,Ireland,New Zealand,Sri Lanka,Sri Lanka,static
Number of women who participated in olympics in the year 1968 ? ,678,781,376,519,781,static
Which country was the winner for Cricket World Cup of the year 1979 ? ,South Africa,Ireland,West Indies,Bangladesh,West Indies,static
What was the venu for Cricket World Cup of the year 2015 ? ,Wankhede,Bridgetown,Melbourne,Lord's,Melbourne,static
Number of women who participated in olympics in the year 1980 ? ,1115,1059,781,678,1115,static
Which country was the host for Cricket World Cup of the year 1979 ? ,"Australia, New Zealand",England,West Indies,South Africa,England,static
What was the venu for Cricket World Cup of the year 1979 ? ,Melbourne,Wankhede,Lord's,Wanderers,Lord's,static
Number of women events that took place in Olympic in the year 1904 ? ,3,145,140,127,3,static
What was the venu for Cricket World Cup of the year 1992 ? ,Kolkata,Lord's,Wanderers,Melbourne,Melbourne,static
Which country was the winner for Cricket World Cup of the year 2011 ? ,South Africa,India,New Zealand,Bangladesh,India,static
Number of women who participated in olympics in the year 1904 ? ,6,4700,4676,4637,6,static
Number of women events that took place in Olympic in the year 2000 ? ,97,86,72,120,120,static
Number of women who participated in olympics in the year 1976 ? ,1059,1260,678,611,1260,static
Number of women who participated in olympics in the year 1976 ? ,1059,781,678,1260,1260,static
Number of women who participated in olympics in the year 1984 ? ,1115,1260,1059,1566,1566,static
Number of women events that took place in Olympic in the year 1976 ? ,43,39,49,29,49,static
Which country was the host for Cricket World Cup of the year 2003 ? ,England,"India, Pakistan, Sri Lanka","Australia, New Zealand",South Africa,South Africa,static
Number of women events that took place in Olympic in the year 1932 ? ,14,14,8,5,14,static
What was the venu for Cricket World Cup of the year 1999 ? ,Lord's,Melbourne,Kolkata,Lord's,Lord's,static
Which country was the winner for Cricket World Cup of the year 2003 ? ,Australia,Ireland,New Zealand,Bangladesh,Australia,static
Which country was the host for Cricket World Cup of the year 1992 ? ,India,England,South Africa,"Australia, New Zealand","Australia, New Zealand",static
Which country was the host for Cricket World Cup of the year 1999 ? ,"India, Pakistan, Sri Lanka","Australia, New Zealand",India,England,England,static
What was the venu for Cricket World Cup of the year 1987 ? ,Lord's,Lahore (Gdffi),Kolkata,Wankhede,Kolkata,static
What was the venu for Cricket World Cup of the year 2011 ? ,Wankhede,Wanderers,Lord's,Lahore (Gdffi),Wankhede,static
Number of women events that took place in Olympic in the year 1924 ? ,8,5,4,10,10,static
Number of women who participated in olympics in the year 1924 ? ,135,48,37,6,135,static
Number of women events that took place in Olympic in the year 1964 ? ,29,33,25,19,33,static
