Word,word2vector
holiday,Word not present
drive,Word not present
famous,Word not present
sad,Word not present
exciting,Word not present
simple,"[('clearance', 0.9990211725234985), ('identified', 0.9990153908729553), ('low', 0.9990020990371704), ('de', 0.9989939332008362), ('required', 0.9989927411079407), ('use', 0.9989912509918213), ('proteins', 0.9989833831787109), ('factors', 0.9989825487136841), ('mrna', 0.9989814758300781), ('described', 0.9989662170410156)]"
company,Word not present
plan,"[('protection', 0.9955179691314697), ('pulmonary', 0.995440661907196), ('furin', 0.995368242263794), ('direct', 0.9953356981277466), ('serotype', 0.9953339695930481), ('vaccines', 0.9953127503395081), ('leading', 0.9952970743179321), ('immunization', 0.9952914714813232), ('person', 0.9952845573425293), ('motif', 0.9952676296234131)]"
fly,"[('research', 0.9974542856216431), ('drugs', 0.9973937273025513), ('step', 0.9973910450935364), ('activation', 0.9973793029785156), ('antibody', 0.9973702430725098), ('potential', 0.9973669052124023), ('relative', 0.9973630905151367), ('metabolism', 0.9973627328872681), ('obtained', 0.9973596334457397), ('strain', 0.9973559975624084)]"
might,Word not present
fitness,Word not present
sleep,Word not present
border,Word not present
clause,Word not present
stopover,Word not present
anxiety,"[('represented', 0.988724410533905), ('investigate', 0.9885944128036499), ('conclusion', 0.9885421991348267), ('event', 0.9884322881698608), ('national', 0.9883948564529419), ('vitro', 0.9883687496185303), ('safety', 0.9883442521095276), ('east', 0.9883005619049072), ('isolation', 0.988300085067749), ('endocytosis', 0.9882686138153076)]"
rhythm,Word not present
scent,Word not present
policy,"[('early', 0.9997495412826538), ('host', 0.999742865562439), ('blood', 0.9997421503067017), ('use', 0.9997410178184509), ('figure', 0.9997353553771973), ('shown', 0.99973464012146), ('influenza', 0.99973464012146), ('viruses', 0.9997338652610779), ('strains', 0.9997318983078003), ('patients', 0.9997307062149048)]"
ecology,Word not present
greed,Word not present
murmur,Word not present
chronic,"[('viral', 0.9998114109039307), ('diseases', 0.9998068809509277), ('cells', 0.9998019337654114), ('observed', 0.9998006224632263), ('disease', 0.9997975826263428), ('use', 0.9997974634170532), ('figure', 0.9997951984405518), ('host', 0.9997950792312622), ('model', 0.9997919797897339), ('patients', 0.9997886419296265)]"
skip,Word not present
animated,Word not present
attribute,Word not present
clarity,Word not present
defy,Word not present
erode,Word not present
