adj
"[{'word': 'national', 'score': 1001}, {'word': 'public', 'score': 1000}, {'word': 'long', 'score': 999}, {'word': 'half', 'score': 998}, {'word': 'short', 'score': 997}]"
"[{'word': 'hard', 'score': 1001}, {'word': 'long', 'score': 1000}, {'word': 'sexual', 'score': 999}, {'word': 'short', 'score': 998}, {'word': 'minute', 'score': 997}]"
"[{'word': 'world', 'score': 1001}, {'word': 'some', 'score': 1000}, {'word': 'three', 'score': 999}, {'word': 'sixteen', 'score': 998}, {'word': 'thirty', 'score': 997}]"
"[{'word': 'happy', 'score': 1001}, {'word': 'generalized', 'score': 1000}, {'word': 'subsyndromal', 'score': 999}, {'word': 'novi', 'score': 998}, {'word': 'very', 'score': 997}]"
"[{'word': 'self', 'score': 1001}, {'word': 'more', 'score': 1000}, {'word': 'highly', 'score': 999}]"
"[{'word': 'few', 'score': 1001}, {'word': 'such', 'score': 1000}, {'word': 'same', 'score': 999}, {'word': 'more', 'score': 998}, {'word': 'own', 'score': 997}]"
"[{'word': 'new', 'score': 1001}, {'word': 'good', 'score': 1000}, {'word': 'large', 'score': 999}, {'word': 'own', 'score': 998}, {'word': 'whole', 'score': 997}]"
"[{'word': 'year', 'score': 1001}, {'word': 'new', 'score': 1000}, {'word': 'original', 'score': 999}, {'word': 'general', 'score': 998}, {'word': 'good', 'score': 997}]"
"[{'word': 'tsetse', 'score': 1001}, {'word': 'dry', 'score': 1000}, {'word': 'artificial', 'score': 999}, {'word': 'small', 'score': 998}, {'word': 'black', 'score': 997}]"
"[{'word': 'military', 'score': 1001}, {'word': 'armed', 'score': 1000}, {'word': 'economic', 'score': 999}, {'word': 'industrial', 'score': 998}, {'word': 'own', 'score': 997}]"
"[{'word': 'physical', 'score': 1001}, {'word': 'inclusive', 'score': 1000}, {'word': 'cardiovascular', 'score': 999}, {'word': 'aerobic', 'score': 998}, {'word': 'general', 'score': 997}]"
"[{'word': 'deep', 'score': 1001}, {'word': 'little', 'score': 1000}, {'word': 'long', 'score': 999}, {'word': 'sound', 'score': 998}, {'word': 'dreamless', 'score': 997}]"
"[{'word': 'lower', 'score': 1001}, {'word': 'posterior', 'score': 1000}, {'word': 'upper', 'score': 999}, {'word': 'anterior', 'score': 998}, {'word': 'northern', 'score': 997}]"
"[{'word': 'relative', 'score': 1001}, {'word': 'main', 'score': 1000}, {'word': 'first', 'score': 999}, {'word': 'last', 'score': 998}, {'word': 'subordinate', 'score': 997}]"
"[{'word': 'brief', 'score': 1001}, {'word': 'short', 'score': 1000}, {'word': 'day', 'score': 999}, {'word': 'hour', 'score': 998}, {'word': 'first', 'score': 997}]"
"[{'word': 'great', 'score': 1001}, {'word': 'much', 'score': 1000}, {'word': 'intense', 'score': 999}, {'word': 'social', 'score': 998}, {'word': 'considerable', 'score': 997}]"
"[{'word': 'circadian', 'score': 1001}, {'word': 'normal', 'score': 1000}, {'word': 'sinus', 'score': 999}, {'word': 'cardiac', 'score': 998}, {'word': 'regular', 'score': 997}]"
"[{'word': 'sweet', 'score': 1001}, {'word': 'strong', 'score': 1000}, {'word': 'faint', 'score': 999}, {'word': 'fresh', 'score': 998}, {'word': 'heavy', 'score': 997}]"
"[{'word': 'foreign', 'score': 1001}, {'word': 'public', 'score': 1000}, {'word': 'economic', 'score': 999}, {'word': 'monetary', 'score': 998}, {'word': 'national', 'score': 997}]"
"[{'word': 'human', 'score': 1001}, {'word': 'deep', 'score': 1000}, {'word': 'social', 'score': 999}, {'word': 'political', 'score': 998}, {'word': 'microbial', 'score': 997}]"
"[{'word': 'human', 'score': 1001}, {'word': 'own', 'score': 1000}, {'word': 'insatiable', 'score': 999}, {'word': 'corporate', 'score': 998}, {'word': 'personal', 'score': 997}]"
"[{'word': 'systolic', 'score': 1001}, {'word': 'low', 'score': 1000}, {'word': 'diastolic', 'score': 999}, {'word': 'soft', 'score': 998}, {'word': 'loud', 'score': 997}]"
"[{'word': 'more', 'score': 1001}, {'word': 'acute', 'score': 1000}, {'word': 'most', 'score': 999}, {'word': 'severe', 'score': 998}, {'word': 'active', 'score': 997}]"
"[{'word': 'little', 'score': 1001}, {'word': 'direct', 'score': 1000}, {'word': 'long', 'score': 999}, {'word': 'hop', 'score': 998}, {'word': 'old', 'score': 997}]"
"[{'word': 'french', 'score': 1001}, {'word': 'more', 'score': 1000}, {'word': 'present', 'score': 999}, {'word': 'general', 'score': 998}, {'word': 'least', 'score': 997}]"
"[{'word': 'important', 'score': 1001}, {'word': 'essential', 'score': 1000}, {'word': 'single', 'score': 999}, {'word': 'divine', 'score': 998}, {'word': 'particular', 'score': 997}]"
"[{'word': 'greater', 'score': 1001}, {'word': 'great', 'score': 1000}, {'word': 'such', 'score': 999}, {'word': 'conceptual', 'score': 998}, {'word': 'more', 'score': 997}]"
"[{'word': 'fierce', 'score': 1001}, {'word': 'death', 'score': 1000}, {'word': 'formal', 'score': 999}, {'word': 'grave', 'score': 998}, {'word': 'present', 'score': 997}]"
"[{'word': 'salem', 'score': 1001}, {'word': 'coimbatore', 'score': 1000}]"
