Word,Word-ID,Syn-ID,Synonym,CEFR,Strength,Syllabel
fitness,32478,477,shape,3,2,2
fitness,32478,1686,strength,4,1,2
fitness,32478,1822,health,2,1,2
fitness,32478,4042,repair,2,2,2
fitness,32478,4643,trim,-1,2,2
fitness,32478,9963,fettle,-1,2,2
fitness,32478,19792,vigor,-1,1,2
fitness,32478,20573,kilter,-1,2,2
fitness,32478,34406,robustness,-1,2,2
sleep,33166,222,rest,3,2,1
sleep,33166,967,nap,5,2,1
sleep,33166,1562,nod,4,2,1
sleep,33166,2632,hibernation,-1,1,1
sleep,33166,4634,trance,-1,1,1
sleep,33166,5650,doze,-1,2,1
sleep,33166,12216,repose,-1,2,1
sleep,33166,15037,slumber,-1,1,1
sleep,33166,15238,lethargy,-1,2,1
sleep,33166,21558,snooze,-1,2,1
sleep,33166,22985,catnap,-1,2,1
sleep,33166,23916,dormancy,-1,2,1
sleep,33166,24523,dream,2,1,1
sleep,33166,32216,dullness,-1,2,1
sleep,33166,33168,forty winks,-1,3,1
sleep,33166,36646,bedtime,-1,2,1
sleep,33166,37021,shuteye,-1,2,1
sleep,33166,38135,coma,-1,1,1
explanation,843,22,story,2,3,4
explanation,843,75,display,3,2,4
explanation,843,255,information,2,3,4
explanation,843,294,report,3,3,4
explanation,843,567,note,1,3,4
explanation,843,776,tale,4,2,4
explanation,843,884,sense,4,3,4
explanation,843,953,expression,4,3,4
explanation,843,1086,history,2,2,4
explanation,843,1284,cause,4,3,4
explanation,843,1900,resolution,6,3,4
explanation,843,1901,commentary,5,3,4
explanation,843,2107,evidence,4,3,4
explanation,843,2134,example,1,3,4
explanation,843,2439,meaning,3,3,4
explanation,843,2976,description,3,3,4
explanation,843,3003,excuse,3,3,4
explanation,843,3017,demonstration,5,2,4
explanation,843,3516,brief,3,2,4
explanation,843,3838,significance,5,2,4
explanation,843,4239,statement,4,3,4
explanation,843,4720,motive,4,3,4
explanation,843,4809,definition,4,3,4
explanation,843,4983,summary,4,3,4
explanation,843,5069,telling,-1,2,4
explanation,843,5132,interpretation,6,3,4
explanation,843,5660,narration,-1,2,4
explanation,843,5901,breakdown,4,2,4
explanation,843,5908,exposition,-1,2,4
explanation,843,6201,illustration,5,2,4
explanation,843,7555,mitigation,-1,2,4
explanation,843,7729,rendition,-1,2,4
explanation,843,8243,recital,-1,2,4
explanation,843,8318,gloss,-1,2,4
explanation,843,11939,justification,6,3,4
explanation,843,13108,showing,-1,2,4
explanation,843,15624,specification,5,2,4
explanation,843,18034,vindication,-1,2,4
firework,1167,37107,bursts,4,2,3
adopt,31765,681,use,1,1,2
adopt,31765,840,support,4,1,2
adopt,31765,1301,follow,2,1,2
adopt,31765,1433,mimic,-1,2,2
adopt,31765,1482,appropriate,4,2,2
adopt,31765,2041,accept,3,1,2
adopt,31765,2176,select,3,1,2
adopt,31765,2801,tap,4,2,2
adopt,31765,2840,maintain,4,1,2
adopt,31765,2925,seize,4,2,2
adopt,31765,3103,imitate,5,2,2
adopt,31765,3111,embrace,5,1,2
adopt,31765,3169,assume,4,2,2
adopt,31765,4334,adapt,4,2,2
adopt,31765,4662,borrow,2,2,2
adopt,31765,6459,opt,5,2,2
adopt,31765,8851,affiliate,-1,2,2
adopt,31765,11943,ratify,-1,1,2
adopt,31765,15077,espouse,-1,2,2
adopt,31765,23785,assent,-1,2,2
adopt,31765,24148,utilize,5,2,2
adopt,31765,24260,affirm,-1,2,2
adopt,31765,31366,approve,4,1,2
adopt,31765,31809,take on,3,3,2
adopt,31765,32227,take up,-1,1,2
adopt,31765,32310,endorse,6,1,2
wildlife,3572,57,body,1,1,2
wildlife,3572,252,man,1,1,2
wildlife,3572,260,animal,1,2,2
wildlife,3572,342,person,1,1,2
wildlife,3572,354,breath,3,2,2
wildlife,3572,891,human,3,2,2
wildlife,3572,948,creature,3,2,2
wildlife,3572,1331,living,4,1,2
wildlife,3572,1529,survival,4,1,2
wildlife,3572,1634,entity,6,2,2
wildlife,3572,2291,soul,4,1,2
wildlife,3572,2631,presence,4,2,2
wildlife,3572,2684,existence,4,1,2
wildlife,3572,3384,vitality,6,2,2
wildlife,3572,3410,individual,4,2,2
wildlife,3572,3812,growth,4,1,2
wildlife,3572,4133,mortal,-1,2,2
wildlife,3572,4509,flesh,6,2,2
wildlife,3572,7719,essence,6,2,2
wildlife,3572,9144,animation,4,2,2
wildlife,3572,9546,endurance,6,2,2
wildlife,3572,9661,metabolism,-1,2,2
wildlife,3572,9798,organism,-1,2,2
wildlife,3572,10521,viability,-1,2,2
wildlife,3572,14600,personage,-1,2,2
wildlife,3572,17490,subsistence,-1,2,2
wildlife,3572,32042,continuance,-1,2,2
wildlife,3572,32110,consciousness,5,2,2
wildlife,3572,35196,woman,1,1,2
civilization,10392,1078,polish,-1,2,5
civilization,10392,1959,education,3,3,5
civilization,10392,3524,illumination,-1,2,5
civilization,10392,4225,development,3,3,5
civilization,10392,5254,progress,3,3,5
civilization,10392,5665,civility,-1,2,5
civilization,10392,7011,advancement,-1,3,5
civilization,10392,8038,elevation,-1,2,5
civilization,10392,8324,refinement,-1,2,5
civilization,10392,12318,enlightenment,-1,2,5
civilization,10392,13830,breeding,-1,2,5
civilization,10392,19798,edification,-1,2,5
civilization,10392,28282,acculturation,-1,2,5
strict,33278,185,grim,6,3,1
strict,33278,214,set,4,3,1
strict,33278,244,hard,2,3,1
strict,33278,1065,harsh,5,1,1
strict,33278,2092,picky,-1,3,1
strict,33278,2348,square,2,3,1
strict,33278,3451,severe,4,1,1
strict,33278,3506,exacting,-1,1,1
strict,33278,3640,forbidding,-1,3,1
strict,33278,4675,stern,6,1,1
strict,33278,5009,puritanical,-1,3,1
strict,33278,5305,stuffy,-1,3,1
strict,33278,6087,austere,-1,3,1
strict,33278,6350,rigid,6,1,1
strict,33278,8674,disciplinary,-1,3,1
strict,33278,9933,stringent,-1,1,1
strict,33278,11717,rigorous,-1,1,1
strict,33278,11771,draconian,-1,1,1
strict,33278,12868,oppressive,-1,3,1
strict,33278,17053,scrupulous,-1,1,1
strict,33278,18342,tough,4,1,1
strict,33278,21456,uptight,-1,3,1
strict,33278,22123,prudish,-1,3,1
strict,33278,23156,punctilious,-1,3,1
strict,33278,25944,firm,4,3,1
strict,33278,30638,straight,2,3,1
strict,33278,32451,dour,-1,3,1
strict,33278,33234,unsparing,-1,3,1
strict,33278,35302,no-nonsense,-1,3,1
strict,33278,35549,strait-laced,-1,3,1
coverage,37727,294,report,3,1,3
coverage,37727,2976,description,3,2,3
coverage,37727,4529,insurance,4,1,3
coverage,37727,6461,analysis,4,1,3
coverage,37727,23353,indemnity,-1,2,3
coverage,37727,31551,scope,5,2,3
coverage,37727,35951,broadcasting,-1,2,3
previous,2513,1762,past,2,1,2
previous,2513,4824,sometime,4,3,2
previous,2513,12613,erstwhile,-1,3,2
previous,2513,12819,precedent,6,3,2
previous,2513,14644,antecedent,-1,3,2
previous,2513,31070,preceding,-1,1,2
previous,2513,35502,foregoing,-1,3,2
previous,2513,35506,anterior,-1,3,2
previous,2513,38401,quondam,-1,3,2
previous,2513,38699,ex,-1,3,2
shape,477,48,model,6,3,1
shape,477,49,make,1,2,1
shape,477,57,body,1,3,1
shape,477,753,cut,2,2,1
shape,477,821,frame,3,3,1
shape,477,898,outline,6,3,1
shape,477,1157,stamp,2,2,1
shape,477,1787,pattern,4,3,1
shape,477,1797,silhouette,-1,3,1
shape,477,1807,figure,3,2,1
shape,477,1996,appearance,4,2,1
shape,477,3549,construction,4,2,1
shape,477,3554,architecture,3,3,1
shape,477,4787,format,5,3,1
shape,477,4797,aspect,4,3,1
shape,477,5565,guise,-1,2,1
shape,477,6147,symmetry,-1,2,1
shape,477,8188,constitution,5,2,1
shape,477,8589,mold,-1,2,1
shape,477,9781,configuration,5,3,1
shape,477,11491,contour,-1,3,1
shape,477,12076,embodiment,-1,2,1
shape,477,12760,cast,4,2,1
shape,477,13070,profile,4,2,1
shape,477,13199,semblance,-1,2,1
shape,477,13212,metamorphosis,-1,2,1
shape,477,21432,simulacrum,-1,2,1
shape,477,28424,conformation,-1,2,1
effort,1667,130,crack,4,2,2
effort,1667,190,trouble,3,2,2
effort,1667,895,job,1,2,2
effort,1667,1011,purpose,3,2,2
effort,1667,1232,stretch,4,2,2
effort,1667,1327,toil,-1,2,2
effort,1667,1586,production,4,3,2
effort,1667,1713,training,3,3,2
effort,1667,1788,strain,4,2,2
effort,1667,1885,force,4,3,2
effort,1667,1900,resolution,6,3,2
effort,1667,2008,attempt,3,3,2
effort,1667,2068,creation,4,3,2
effort,1667,2181,struggle,4,3,2
effort,1667,2201,product,3,2,2
effort,1667,2324,achievement,3,3,2
effort,1667,2378,exercise,2,3,2
effort,1667,2471,discipline,4,2,2
effort,1667,2502,aim,3,2,2
effort,1667,2567,venture,6,2,2
effort,1667,2661,trial,4,2,2
effort,1667,2692,battle,3,3,2
effort,1667,2929,fling,-1,2,2
effort,1667,3278,feat,6,2,2
effort,1667,3498,shot,4,2,2
effort,1667,3560,essay,3,2,2
effort,1667,3562,tension,4,2,2
effort,1667,3642,industry,4,3,2
effort,1667,3993,application,3,2,2
effort,1667,4084,stab,4,2,2
effort,1667,4269,deed,5,2,2
effort,1667,4546,drill,-1,2,2
effort,1667,5129,accomplishment,5,2,2
effort,1667,5183,stress,3,2,2
effort,1667,6187,strife,-1,2,2
effort,1667,7392,whack,-1,2,2
effort,1667,8122,undertaking,6,2,2
effort,1667,8964,labor,-1,2,2
effort,1667,9031,spurt,-1,2,2
effort,1667,11612,travail,-1,2,2
effort,1667,17980,endeavor,-1,3,2
effort,1667,30634,striving,-1,2,2
canned,20519,5941,bottled,-1,3,2
spill,29806,24,run,1,2,1
spill,29806,126,pour,3,3,1
spill,29806,493,splash,4,3,1
spill,29806,636,flow,3,3,1
spill,29806,704,empty,2,3,1
spill,29806,937,stream,4,3,1
spill,29806,992,shed,5,2,1
spill,29806,1623,sprinkle,6,3,1
spill,29806,1887,scatter,-1,3,1
spill,29806,2264,drip,-1,2,1
spill,29806,4039,upset,4,2,1
spill,29806,4485,dribble,-1,3,1
spill,29806,5852,overflow,6,3,1
spill,29806,6302,spray,-1,3,1
spill,29806,7410,overrun,-1,2,1
spill,29806,8179,squirt,-1,3,1
spill,29806,8380,discharge,5,3,1
spill,29806,9031,spurt,-1,2,1
spill,29806,9094,overturn,5,2,1
spill,29806,10154,splatter,-1,2,1
spill,29806,30381,disgorge,-1,2,1
spill,452,24,run,1,2,1
spill,452,126,pour,3,3,1
spill,452,493,splash,4,3,1
spill,452,636,flow,3,3,1
spill,452,704,empty,2,3,1
spill,452,937,stream,4,3,1
spill,452,992,shed,5,2,1
spill,452,1623,sprinkle,6,3,1
spill,452,1887,scatter,-1,3,1
spill,452,2264,drip,-1,2,1
spill,452,4039,upset,4,2,1
spill,452,4485,dribble,-1,3,1
spill,452,5852,overflow,6,3,1
spill,452,6302,spray,-1,3,1
spill,452,7410,overrun,-1,2,1
spill,452,8179,squirt,-1,3,1
spill,452,8380,discharge,5,3,1
spill,452,9031,spurt,-1,2,1
spill,452,9094,overturn,5,2,1
spill,452,10154,splatter,-1,2,1
spill,452,30381,disgorge,-1,2,1
employees,33330,109,hand,1,2,2
employees,33330,265,help,1,2,2
employees,33330,1093,slave,4,2,2
employees,33330,1963,attendant,-1,1,2
employees,33330,1988,member,2,1,2
employees,33330,3026,worker,2,1,2
employees,33330,3963,plug,5,2,2
employees,33330,4444,agent,4,1,2
employees,33330,4552,operator,4,1,2
employees,33330,4581,clerk,4,1,2
employees,33330,5145,representative,4,1,2
employees,33330,5409,assistant,3,2,2
employees,33330,6316,breadwinner,-1,2,2
employees,33330,10126,craftsperson,-1,3,2
employees,33330,17234,apprentice,-1,2,2
employees,33330,27269,salesperson,2,2,2
employees,33330,29765,laborer,-1,1,2
employees,33330,33032,domestic,4,2,2
employees,33330,36115,hireling,-1,2,2
employees,33330,36117,working stiff,-1,3,2
employees,33330,38064,pink collar,-1,3,2
employees,33330,38066,white collar,-1,3,2
communicate,3980,28,write,1,1,4
communicate,3980,69,tell,1,1,4
communicate,3980,294,report,3,2,4
communicate,3980,450,break,2,2,4
communicate,3980,601,state,4,2,4
communicate,3980,684,phone,1,2,4
communicate,3980,900,carry,1,2,4
communicate,3980,973,spread,4,2,4
communicate,3980,1452,raise,3,2,4
communicate,3980,1488,relate,6,1,4
communicate,3980,1495,announce,3,2,4
communicate,3980,1499,suggest,3,1,4
communicate,3980,1613,connect,3,1,4
communicate,3980,1684,declare,4,2,4
communicate,3980,2321,inform,3,1,4
communicate,3980,2354,network,4,2,4
communicate,3980,2358,convey,5,1,4
communicate,3980,2468,reveal,4,1,4
communicate,3980,2574,betray,4,2,4
communicate,3980,3160,proclaim,5,2,4
communicate,3980,3311,advertise,3,1,4
communicate,3980,3496,contact,3,1,4
communicate,3980,3555,unfold,5,2,4
communicate,3980,4150,transmit,5,1,4
communicate,3980,4425,disclose,6,1,4
communicate,3980,4544,transfer,3,1,4
communicate,3980,6991,signify,-1,2,4
communicate,3980,8604,divulge,-1,2,4
communicate,3980,9164,impart,-1,1,4
communicate,3980,10037,interface,5,3,4
communicate,3980,13914,discover,3,2,4
communicate,3980,15873,publicize,-1,1,4
communicate,3980,17027,enlighten,-1,2,4
communicate,3980,17857,disseminate,-1,1,4
communicate,3980,24406,broadcast,4,1,4
communicate,3980,31755,hint,4,2,4
communicate,3980,31781,imply,6,2,4
communicate,3980,32298,make known,4,3,4
communicate,3980,32901,advise,3,2,4
communicate,3980,33409,correspond,4,1,4
communicate,3980,33423,publish,3,2,4
communicate,3980,34674,interact,4,1,4
communicate,3980,35149,be in touch,3,3,4
communicate,3980,35150,keep in touch,3,3,4
communicate,3980,35151,ring up,-1,3,4
communicate,3980,35152,touch base,3,3,4
pregnant,34347,6077,productive,4,3,2
pregnant,34347,6304,fraught,-1,3,2
pregnant,34347,6306,hopeful,3,3,2
pregnant,34347,6527,fertile,6,3,2
pregnant,34347,7628,prolific,-1,3,2
pregnant,34347,7828,replete,-1,3,2
pregnant,34347,10381,fruitful,5,3,2
pregnant,34347,10475,abundant,-1,3,2
pregnant,34347,11439,fecund,-1,3,2
pregnant,34347,12057,teeming,-1,3,2
pregnant,34347,25502,heavy,2,3,2
pregnant,34347,32898,expectant,-1,3,2
pregnant,34347,34346,gravid,-1,3,2
disagree,31561,38,war,2,2,2
disagree,31561,1604,conflict,4,2,2
disagree,31561,3057,clash,6,1,2
disagree,31561,3512,counter,4,2,2
disagree,31561,4045,deviate,-1,2,2
disagree,31561,4052,vary,4,2,2
disagree,31561,4072,differ,4,1,2
disagree,31561,4721,depart,3,2,2
disagree,31561,9184,dissent,-1,1,2
disagree,31561,10119,diverge,-1,1,2
disagree,31561,13637,contradict,5,1,2
disagree,31561,16342,discord,-1,2,2
branch,909,54,arm,1,3,1
branch,909,794,section,3,3,1
branch,909,1328,local,3,2,1
branch,909,1376,chapter,3,3,1
branch,909,1988,member,2,3,1
branch,909,2812,connection,4,2,1
branch,909,4553,extension,4,2,1
branch,909,5170,division,4,3,1
branch,909,5208,category,4,2,1
branch,909,5346,derivative,-1,2,1
branch,909,6462,subsidiary,-1,3,1
branch,909,7773,outpost,-1,2,1
branch,909,8603,classification,6,2,1
branch,909,9200,tributary,-1,2,1
branch,909,12347,subdivision,-1,2,1
branch,909,12583,portion,5,2,1
branch,909,16412,bureau,-1,3,1
branch,909,16522,annex,-1,2,1
branch,909,17371,dependency,-1,2,1
branch,909,19863,subsection,-1,2,1
concentrate,31766,114,need,1,2,3
concentrate,31766,128,put,1,1,3
concentrate,31766,214,set,4,2,3
concentrate,31766,995,examine,4,2,3
concentrate,31766,1632,ponder,6,2,3
concentrate,31766,1649,weigh,3,2,3
concentrate,31766,1868,attend,3,2,3
concentrate,31766,2272,study,1,2,3
concentrate,31766,2776,establish,4,1,3
concentrate,31766,3365,apply,3,1,3
concentrate,31766,3824,rivet,-1,2,3
concentrate,31766,5513,intensify,6,1,3
concentrate,31766,6110,muse,-1,2,3
concentrate,31766,6611,center,-1,2,3
concentrate,31766,8096,fixate,-1,1,3
concentrate,31766,9679,meditate,-1,2,3
concentrate,31766,10229,peruse,-1,2,3
concentrate,31766,11362,ruminate,-1,2,3
concentrate,31766,24024,scrutinize,-1,2,3
concentrate,31766,24092,focus,5,1,3
concentrate,31766,29392,knuckle down,-1,3,3
concentrate,31766,31549,contemplate,6,2,3
concentrate,31766,32029,settle,4,1,3
broader,31314,433,deep,2,1,2
broader,31314,456,full,2,1,2
broader,31314,1766,vast,4,1,2
broader,31314,1842,immense,5,1,2
broader,31314,3100,generous,3,1,2
broader,31314,3310,outstretched,-1,3,2
broader,31314,3737,widespread,5,3,2
broader,31314,4097,squat,-1,2,2
broader,31314,4164,extensive,4,1,2
broader,31314,5765,spacious,5,3,2
broader,31314,10129,voluminous,-1,3,2
broader,31314,11428,splay,-1,2,2
broader,31314,13903,thick,3,2,2
broader,31314,19132,large,2,1,2
broader,31314,21080,capacious,-1,3,2
broader,31314,24094,expansive,-1,1,2
broader,31314,24308,ample,5,3,2
broader,31314,25365,roomy,-1,2,2
broader,31314,31269,outspread,-1,3,2
broader,31314,33297,extended,-1,3,2
unwell,34333,1159,ill,2,3,2
unwell,34333,1668,frail,6,3,2
unwell,34333,2816,feeble,6,3,2
unwell,34333,3921,unhealthy,-1,3,2
unwell,34333,4361,infected,-1,3,2
unwell,34333,4446,suffering,4,3,2
unwell,34333,5701,sickly,-1,3,2
unwell,34333,7318,infirm,-1,3,2
unwell,34333,10984,impaired,-1,3,2
unwell,34333,13804,diseased,-1,3,2
unwell,34333,15122,incurable,6,3,2
unwell,34333,21988,bedridden,-1,3,2
unwell,34333,31646,feverish,-1,3,2
unwell,34333,31763,weak,3,3,2
unwell,34333,31861,run down,-1,3,2
unwell,34333,34284,ailing,-1,3,2
unwell,34333,34285,invalid,-1,3,2
unwell,34333,35635,broken down,-1,3,2
unwell,34333,36681,nauseated,-1,3,2
rude,16962,156,short,1,1,1
rude,16962,212,low,3,1,1
rude,16962,727,wild,4,1,1
rude,16962,1471,savage,-1,1,1
rude,16962,2911,vulgar,-1,3,1
rude,16962,3148,raw,3,1,1
rude,16962,4145,coarse,-1,3,1
rude,16962,4321,illiterate,6,1,1
rude,16962,4718,barbarous,-1,1,1
rude,16962,4940,ignorant,6,3,1
rude,16962,5102,abusive,6,3,1
rude,16962,5625,uncouth,-1,1,1
rude,16962,5957,crude,6,3,1
rude,16962,6242,intrusive,-1,3,1
rude,16962,6451,barbarian,-1,1,1
rude,16962,6749,abrupt,6,1,1
rude,16962,6939,barbaric,-1,1,1
rude,16962,8090,brutish,-1,1,1
rude,16962,9385,uncultured,-1,1,1
rude,16962,11056,impolite,4,3,1
rude,16962,11666,obscene,6,3,1
rude,16962,12013,brusque,-1,1,1
rude,16962,14673,impertinent,-1,1,1
rude,16962,15636,cheeky,4,1,1
rude,16962,15882,unrefined,-1,1,1
