Word,Word-ID,Syn-ID,Synonym,CEFR,Strength,Syllabel,Word family,Meaning,Onset for first letter,onset for second letter
ecology,8881,3813,conservation,4,3,4,None,"{'Noun': ['the environment as it relates to living organisms', 'the branch of biology concerned with the relations between organisms and their environment']}","['acology', 'ecology']",acology;ecology;apology
ecology,8881,5006,preservation,5,3,4,None,"{'Noun': ['the environment as it relates to living organisms', 'the branch of biology concerned with the relations between organisms and their environment']}","['acology', 'ecology']",acology;ecology;apology
retreat,2621,4315,withdrawal,6,1,2,None,"{'Noun': ['(military', 'a place of privacy; a place affording peace and quiet', '(military', '(military', 'an area where you can be alone', 'withdrawal for prayer and study and meditation', 'the act of withdrawing or going backward (especially to escape something hazardous or unpleasant'], 'Verb': ['pull back or move away or backward', 'move away, as for privacy', 'move back', 'make a retreat from an earlier commitment or activity']}",['retreat'],retreat
retreat,2621,4985,retirement,4,2,2,None,"{'Noun': ['(military', 'a place of privacy; a place affording peace and quiet', '(military', '(military', 'an area where you can be alone', 'withdrawal for prayer and study and meditation', 'the act of withdrawing or going backward (especially to escape something hazardous or unpleasant'], 'Verb': ['pull back or move away or backward', 'move away, as for privacy', 'move back', 'make a retreat from an earlier commitment or activity']}",['retreat'],retreat
retreat,2621,5684,ebb,-1,2,2,None,"{'Noun': ['(military', 'a place of privacy; a place affording peace and quiet', '(military', '(military', 'an area where you can be alone', 'withdrawal for prayer and study and meditation', 'the act of withdrawing or going backward (especially to escape something hazardous or unpleasant'], 'Verb': ['pull back or move away or backward', 'move away, as for privacy', 'move back', 'make a retreat from an earlier commitment or activity']}",['retreat'],retreat
retreat,2621,9191,evacuation,-1,1,2,None,"{'Noun': ['(military', 'a place of privacy; a place affording peace and quiet', '(military', '(military', 'an area where you can be alone', 'withdrawal for prayer and study and meditation', 'the act of withdrawing or going backward (especially to escape something hazardous or unpleasant'], 'Verb': ['pull back or move away or backward', 'move away, as for privacy', 'move back', 'make a retreat from an earlier commitment or activity']}",['retreat'],retreat
retreat,2621,31687,flight,2,1,2,None,"{'Noun': ['(military', 'a place of privacy; a place affording peace and quiet', '(military', '(military', 'an area where you can be alone', 'withdrawal for prayer and study and meditation', 'the act of withdrawing or going backward (especially to escape something hazardous or unpleasant'], 'Verb': ['pull back or move away or backward', 'move away, as for privacy', 'move back', 'make a retreat from an earlier commitment or activity']}",['retreat'],retreat
greed,32001,5011,indulgence,-1,2,1,None,"{'Noun': ['excessive desire to acquire or possess more (especially more material wealth', 'reprehensible acquisitiveness; insatiable desire for wealth (personified as one of the deadly sins']}","['breed', 'creed', 'freed', 'greed', 'treed']",bleed;gleed;breed;creed;freed;greed;treed;gweed;tweed
greed,32001,5500,longing,6,1,1,None,"{'Noun': ['excessive desire to acquire or possess more (especially more material wealth', 'reprehensible acquisitiveness; insatiable desire for wealth (personified as one of the deadly sins']}","['breed', 'creed', 'freed', 'greed', 'treed']",bleed;gleed;breed;creed;freed;greed;treed;gweed;tweed
greed,32001,5747,craving,6,2,1,None,"{'Noun': ['excessive desire to acquire or possess more (especially more material wealth', 'reprehensible acquisitiveness; insatiable desire for wealth (personified as one of the deadly sins']}","['breed', 'creed', 'freed', 'greed', 'treed']",bleed;gleed;breed;creed;freed;greed;treed;gweed;tweed
