Word,Word-ID,Syn-ID,Synonym,CEFR,Strength,Syllabel,Word family
ecology,8881,3813,conservation,4,3,4,None
ecology,8881,5006,preservation,5,3,4,None
retreat,2621,4315,withdrawal,6,1,2,None
retreat,2621,4985,retirement,4,2,2,None
retreat,2621,5684,ebb,-1,2,2,None
retreat,2621,9191,evacuation,-1,1,2,None
retreat,2621,31687,flight,2,1,2,None
greed,32001,5011,indulgence,-1,2,1,None
greed,32001,5500,longing,6,1,1,None
greed,32001,5747,craving,6,2,1,None
greed,32001,6128,gluttony,-1,1,1,None
greed,32001,7042,excess,5,1,1,None
greed,32001,21317,avarice,-1,1,1,None
greed,32001,31999,eagerness,4,2,1,None
greed,32001,32002,hunger,3,1,1,None
greed,32001,32006,avidity,-1,2,1,None
greed,32001,32007,covetousness,-1,2,1,None
greed,32001,32926,intemperance,-1,2,1,None
greed,32001,33604,selfishness,5,1,1,None
greed,32001,33693,rapacity,-1,2,1,None
abusive,5102,7060,offensive,4,3,3,None
abusive,5102,11072,scathing,-1,1,3,None
abusive,5102,12175,invective,-1,1,3,None
abusive,5102,14665,vituperative,-1,1,3,None
abusive,5102,15600,scolding,-1,1,3,None
abusive,5102,16962,rude,3,3,3,None
abusive,5102,17033,insolent,-1,1,3,None
abusive,5102,17844,derisive,-1,1,3,None
abusive,5102,18023,defamatory,-1,1,3,None
abusive,5102,19640,disparaging,-1,1,3,None
abusive,5102,27896,insulting,-1,3,3,None
abusive,5102,29194,scurrilous,-1,1,3,None
unveil,8412,69,tell,1,3,2,None
unveil,8412,75,display,3,3,2,None
unveil,8412,254,open,2,3,2,None
unveil,8412,773,spring,2,2,2,None
unveil,8412,833,discover,3,2,2,None
unveil,8412,1027,uncover,5,2,2,None
unveil,8412,2336,expose,4,2,2,None
unveil,8412,2574,betray,4,2,2,None
unveil,8412,4425,disclose,6,3,2,None
unveil,8412,8604,divulge,-1,2,2,None
classical,3716,2427,academic,4,2,3,None
classical,3716,9979,roman,-1,2,3,None
classical,3716,12593,Latin,-1,2,3,None
classical,3716,13410,Greek,-1,2,3,None
classical,3716,20329,humanistic,-1,1,3,None
classical,3716,22941,Grecian,-1,2,3,None
classical,3716,23689,bookish,-1,3,3,None
classical,3716,31845,classic,4,1,3,None
classical,3716,33103,scholastic,-1,2,3,None
classical,3716,35328,canonical,-1,3,3,None
classical,3716,36786,attic,4,2,3,None
designate,6406,66,label,6,1,3,designate
designate,6406,1727,nickname,3,2,3,designate
designate,6406,1907,style,3,2,3,designate
designate,6406,2110,term,2,2,3,designate
designate,6406,4591,dub,5,2,3,designate
designate,6406,11627,denominate,-1,2,3,designate
designate,6406,14365,nominate,5,1,3,designate
designate,6406,25645,baptize,-1,2,3,designate
designate,6406,28475,title,3,2,3,designate
designate,6406,31584,call,3,2,3,designate
designate,6406,34666,christen,-1,2,3,designate
patch,5336,63,bit,2,3,1,None
patch,5336,268,land,4,3,1,None
patch,5336,333,lot,1,3,1,None
patch,5336,825,ground,4,3,1,None
patch,5336,961,blob,-1,2,1,None
patch,5336,1232,stretch,4,3,1,None
patch,5336,1923,strip,5,3,1,None
patch,5336,2166,plot,4,3,1,None
patch,5336,3243,hunk,-1,2,1,None
patch,5336,6618,chunk,5,3,1,None
precede,4561,58,head,1,2,2,precede
precede,4561,137,time,2,2,2,precede
precede,4561,885,guide,3,2,2,precede
precede,4561,1442,introduce,4,2,2,precede
precede,4561,1973,preface,-1,2,2,precede
precede,4561,2007,pioneer,6,2,2,precede
precede,4561,2050,pace,4,2,2,precede
precede,4561,2246,rank,5,2,2,precede
precede,4561,6610,harbinger,-1,2,2,precede
precede,4561,8445,usher,-1,2,2,precede
precede,4561,14260,outrank,-1,2,2,precede
precede,4561,14626,foreshadow,-1,1,2,precede
precede,4561,17627,predate,-1,1,2,precede
precede,4561,19894,scout,-1,2,2,precede
precede,4561,27995,antedate,-1,2,2,precede
precede,4561,29772,presage,-1,1,2,precede
precede,4561,31794,lead,4,2,2,precede
precede,4561,32111,anticipate,5,1,2,precede
precede,4561,34948,herald,-1,2,2,precede
precede,4561,39300,be ahead of,1,3,2,precede
precede,4561,39301,in space,2,3,2,precede
offset,8696,1997,charge,3,2,2,offset
offset,8696,2152,balance,4,3,2,offset
offset,8696,3860,equal,3,3,2,offset
offset,8696,5906,redeem,-1,2,2,offset
offset,8696,7740,outweigh,5,3,2,offset
offset,8696,8831,negate,-1,3,2,offset
offset,8696,12214,recompense,-1,2,2,offset
offset,8696,13007,neutralize,-1,3,2,offset
offset,8696,14367,equalize,-1,2,2,offset
offset,8696,16021,counteract,-1,3,2,offset
detection,7331,1148,strike,4,2,3,None
detection,7331,3652,exposure,5,2,3,None
detection,7331,5761,revelation,6,2,3,None
detection,7331,8649,disclosure,5,1,3,None
detection,7331,29227,unearthing,-1,3,3,None
detection,7331,32644,find,1,2,3,None
detection,7331,32819,apprehension,-1,2,3,None
withstanding,36703,64,face,1,2,3,None
withstanding,36703,182,take,3,2,3,None
withstanding,36703,432,stand,2,2,3,None
withstanding,36703,484,brave,3,2,3,None
withstanding,36703,1222,weather,1,1,3,None
withstanding,36703,1896,suffer,3,1,3,None
withstanding,36703,1999,defy,6,1,3,None
withstanding,36703,2133,cope,4,1,3,None
withstanding,36703,2140,fight,3,2,3,None
withstanding,36703,2154,oppose,4,2,3,None
withstanding,36703,2506,duel,-1,2,3,None
withstanding,36703,3038,contest,3,2,3,None
withstanding,36703,3314,resist,5,1,3,None
withstanding,36703,3392,confront,6,2,3,None
withstanding,36703,3662,combat,6,1,3,None
withstanding,36703,4025,tolerate,4,1,3,None
withstanding,36703,4537,violate,5,2,3,None
withstanding,36703,5770,buck,5,2,3,None
withstanding,36703,7310,brace,-1,2,3,None
withstanding,36703,8039,traverse,-1,2,3,None
withstanding,36703,9668,repel,-1,1,3,None
withstanding,36703,25068,dispute,6,2,3,None
withstanding,36703,31197,stick,3,2,3,None
withstanding,36703,31809,take on,3,3,3,None
withstanding,36703,32028,thwart,-1,1,3,None
withstanding,36703,32336,cross,2,2,3,None
burial,39244,3750,funeral,4,1,2,None
