Word,Word-ID,Syn-ID,Synonym,CEFR,Strength,Syllabe,Word Family,Meaning,Onset for first letter,
ambiguity,1895,420,puzzle,6,2,4,ambi,"{'Noun': ['an expression whose meaning cannot be determined from its context', 'unclearness by virtue of having more than one meaning']}",['ambiguity'],ambiguity
ambiguity,1895,3637,enigma,-1,2,4,ambi,"{'Noun': ['an expression whose meaning cannot be determined from its context', 'unclearness by virtue of having more than one meaning']}",['ambiguity'],ambiguity
ambiguity,1895,5866,uncertainty,5,1,4,ambi,"{'Noun': ['an expression whose meaning cannot be determined from its context', 'unclearness by virtue of having more than one meaning']}",['ambiguity'],ambiguity
ambiguity,1895,6975,obscurity,-1,2,4,ambi,"{'Noun': ['an expression whose meaning cannot be determined from its context', 'unclearness by virtue of having more than one meaning']}",['ambiguity'],ambiguity
ambiguity,1895,20018,anagram,-1,2,4,ambi,"{'Noun': ['an expression whose meaning cannot be determined from its context', 'unclearness by virtue of having more than one meaning']}",['ambiguity'],ambiguity
ambiguity,1895,33404,doubt,3,1,4,ambi,"{'Noun': ['an expression whose meaning cannot be determined from its context', 'unclearness by virtue of having more than one meaning']}",['ambiguity'],ambiguity
ambiguity,1895,34982,equivocation,-1,2,4,ambi,"{'Noun': ['an expression whose meaning cannot be determined from its context', 'unclearness by virtue of having more than one meaning']}",['ambiguity'],ambiguity
ambiguity,1895,36245,tergiversation,-1,2,4,ambi,"{'Noun': ['an expression whose meaning cannot be determined from its context', 'unclearness by virtue of having more than one meaning']}",['ambiguity'],ambiguity
ambiguity,1895,36938,vagueness,-1,1,4,ambi,"{'Noun': ['an expression whose meaning cannot be determined from its context', 'unclearness by virtue of having more than one meaning']}",['ambiguity'],ambiguity
ambiguous,3988,2199,unclear,4,3,3,ambi,"{'Adjective': ['open to two or more interpretations; or of uncertain nature or significance; or (often', 'or ambiguous', 'having more than one possible meaning', 'having no intrinsic or objective meaning; not organized in conventional patterns']}",['ambiguous'],ambiguous
ambiguous,3988,2306,vague,5,3,3,ambi,"{'Adjective': ['open to two or more interpretations; or of uncertain nature or significance; or (often', 'or ambiguous', 'having more than one possible meaning', 'having no intrinsic or objective meaning; not organized in conventional patterns']}",['ambiguous'],ambiguous
ambiguous,3988,3655,questionable,6,3,3,ambi,"{'Adjective': ['open to two or more interpretations; or of uncertain nature or significance; or (often', 'or ambiguous', 'having more than one possible meaning', 'having no intrinsic or objective meaning; not organized in conventional patterns']}",['ambiguous'],ambiguous
ambiguous,3988,3897,dubious,6,3,3,ambi,"{'Adjective': ['open to two or more interpretations; or of uncertain nature or significance; or (often', 'or ambiguous', 'having more than one possible meaning', 'having no intrinsic or objective meaning; not organized in conventional patterns']}",['ambiguous'],ambiguous
ambiguous,3988,4808,indefinite,-1,1,3,ambi,"{'Adjective': ['open to two or more interpretations; or of uncertain nature or significance; or (often', 'or ambiguous', 'having more than one possible meaning', 'having no intrinsic or objective meaning; not organized in conventional patterns']}",['ambiguous'],ambiguous
ambiguous,3988,5823,opaque,-1,3,3,ambi,"{'Adjective': ['open to two or more interpretations; or of uncertain nature or significance; or (often', 'or ambiguous', 'having more than one possible meaning', 'having no intrinsic or objective meaning; not organized in conventional patterns']}",['ambiguous'],ambiguous
ambiguous,3988,6335,unintelligible,-1,1,3,ambi,"{'Adjective': ['open to two or more interpretations; or of uncertain nature or significance; or (often', 'or ambiguous', 'having more than one possible meaning', 'having no intrinsic or objective meaning; not organized in conventional patterns']}",['ambiguous'],ambiguous
ambiguous,3988,6580,enigmatic,-1,3,3,ambi,"{'Adjective': ['open to two or more interpretations; or of uncertain nature or significance; or (often', 'or ambiguous', 'having more than one possible meaning', 'having no intrinsic or objective meaning; not organized in conventional patterns']}",['ambiguous'],ambiguous
ambiguous,3988,7496,obscure,-1,3,3,ambi,"{'Adjective': ['open to two or more interpretations; or of uncertain nature or significance; or (often', 'or ambiguous', 'having more than one possible meaning', 'having no intrinsic or objective meaning; not organized in conventional patterns']}",['ambiguous'],ambiguous
